Precursor Mass,Retention Time,Dataset,Source,Peak Name,HMDB Compounds,HMDB Fits,Metlin Compounds,Metlin Scores,MetFrag Compounds,MetFrag Scores
continuous,continuous,string,string,continuous,string,string,string,string,string,string
,,meta,meta,meta,meta,meta,meta,meta,meta,meta
393.0418,9.56,HilNeg 03/24,,,,,,,C17399,0.75
301.0574,11.01,HilNeg 03/24,,,,,,,C08197,0.75
246.0762,9.58,HilNeg 03/24,,,,,,,C20677,0.75
147.0662,11.11,HilNeg 03/24,,,,,,,"C06007, C04104, C00522, C02104, C21062, C21055, C06471, C03348, C00418, C21054, C21045","0.85929648241206, 0.85929648241206, 0.85929648241206, 0.781407035175879, 0.777638190954774, 0.777638190954774, 0.777638190954774, 0.777638190954774, 0.75, 0.0, 0.0"
301.0983,12.18,HilNeg 03/24,,,,,,,"C19466, C19465, C19390, C19467, C19393, C19223, C19222, C19174, C19394","0.828213879408419, 0.828213879408419, 0.828213879408419, 0.818828213879408, 0.818828213879408, 0.818828213879408, 0.818828213879408, 0.818828213879408, 0.75"
321.1327,12.44,HilNeg 03/24,,,,,,,"C09568, C09559, C20351","0.794816138917263, 0.778983656792646, 0.37222975067377"
353.183,11.22,HilNeg 03/24,,,,,,,"C11691, C11783, C11809, C09251, C09256","0.771382065699911, 0.696135662352943, 0.692749431473819, 0.611252361099472, 0.554149765346301"
396.1523,10.59,HilNeg 03/24,,,,,,,C13824,0.75
245.0401,2.59,HilNeg 03/24,,,,,,,C03274,0.75
113.0365,10.98,HilNeg 03/24,,,,,,,"C02565, C00429, C08311, C02777, C02512","0.853099127321548, 0.850693667487134, 0.785634370105169, 0.75, 0.134662533512169"
405.1513,9.5,HilNeg 03/24,,,,,,,C18375,0.75
221.1043,10.04,HilNeg 03/24,,,,,"C13708, C13708","24.0, 20.0",C13708,0.75
351.1801,7.82,HilNeg 03/24,,,,,,,C07853,0.0
272.1245,10.79,HilNeg 03/24,,,,,,,C20916,0.75
144.0458,2.52,HilNeg 03/24,,,,,,,"C06338, C06343, C19434, C08493, C06324, C06415, C02796","0.805777339108747, 0.804321444995146, 0.75, 0.59249313931722, 0.581794912348746, 0.561905790689148, 0.551354464747704"
132.0307,15.69,HilNeg 03/24,,,,,C19911,51.0,"C16433, C00049, C00402, C19911","0.75, 0.75, 0.117468728352482, 0.000810885164158781"
517.2939,2.59,HilNeg 03/24,,,,,,,C09941,0.75
193.036,15.34,HilNeg 03/24,,,C00191,0.29,"C00333, C00191","47.0, 1.0","C00618, C15673, C06473, C03342, C01062, C16245, C21059, C21047, C21037, C08350, C08348, C06477, C06472, C02024, C00905, C00558, C00333, C00191, C21034, C20248, C19137","0.841050449205252, 0.832841003625315, 0.832841003625315, 0.832841003625315, 0.826134531214006, 0.820375489518544, 0.778161713890809, 0.778161713890809, 0.778161713890809, 0.778161713890809, 0.778161713890809, 0.778161713890809, 0.778161713890809, 0.778161713890809, 0.778161713890809, 0.778161713890809, 0.778161713890809, 0.778161713890809, 0.75, 0.383166609226168, 0.183627247136927"
217.1201,10.89,HilNeg 03/24,,,,,,,C04020,0.75
214.0724,3.8,HilNeg 03/24,,,,,,,"C08272, C11711","0.895618556701031, 0.75"
473.1947,9.79,HilNeg 03/24,,,,,,,C07259,0.75
339.203,4.43,HilNeg 03/24,,,,,C08152,67.0,,
623.2536,11.46,HilNeg 03/24,,,,,,,C17431,0.75
351.0609,13.82,HilNeg 03/24,,,,,,,"C06118, C04733, C06686","0.896833503575077, 0.896833503575077, 0.630661693703855"
372.0741,10.52,HilNeg 03/24,,,,,,,"C18761, C15551","0.75350382585734, 0.75"
239.0788,8.51,HilNeg 03/24,,,,,,,C14299,0.75
101.0239,8.57,HilNeg 03/24,,,C00109,0.43,,,"C21030, C06002, C00349, C00232, C00164, C00109","0.0, 0.0, 0.0, 0.0, 0.0, 0.0"
501.1252,10.71,HilNeg 03/24,,,,,,,"C18790, C10989","0.75, 0.75"
150.04,9.42,HilNeg 03/24,,,,,,,C00242,0.75
283.2659,8.19,HilNeg 03/24,,,,,,,"C01530, C20356","0.75, 0.0"
145.0985,12.11,HilNeg 03/24,,,,,,,"C20277, C16440, C05161, C01186, C01142, C00739, C00047","0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0"
422.0584,11.09,HilNeg 03/24,,,,,,,"C01969, C08417","0.75, 0.2105585625987"
348.1574,10.79,HilNeg 03/24,,,,,,,C18411,0.75
190.0728,13.61,HilNeg 03/24,,,,,,,C16850,0.0
383.15,9.43,HilNeg 03/24,,,,,,,C10893,0.75
461.1037,10.95,HilNeg 03/24,,,,,,,"C17762, C10533, C05990, C10187, C10104","0.804669260700389, 0.790077821011673, 0.733288607518219, 0.663124354286358, 0.630260474509093"
415.1594,9.35,HilNeg 03/24,,,,,,,C09158,0.75
216.0889,20.27,HilNeg 03/24,,,,,,,C18590,0.75
444.1233,14.67,HilNeg 03/24,,,,,,,C13825,0.75
251.0721,11.93,HilNeg 03/24,,,,,,,"C15616, C15111, C20872, C03074","0.816080885893115, 0.754735324558483, 0.75, 0.734754583104463"
421.1584,11.66,HilNeg 03/24,,,,,,,C07072,0.75
211.0769,10.72,HilNeg 03/24,,,,,C01745,6.0,"C01745, C16205, C11428, C04468, C16203, C14233, C12537, C20228, C20227, C01408","0.819524913093859, 0.76332560834299, 0.76332560834299, 0.756083429895713, 0.75, 0.481754771897719, 0.432787522424413, 0.33777014119614, 0.33777014119614, 0.33777014119614"
537.1961,10.56,HilNeg 03/24,,,,,,,C11194,0.75
303.0861,6.03,HilNeg 03/24,,,,,"C12270, C12270","24.0, 16.0","C12270, C18356, C19013, C08740, C18836, C18360, C08761, C18354","0.792478727961802, 0.75, 0.749483728572812, 0.698670732064649, 0.694300625680865, 0.678247247804204, 0.677398122312822, 0.377689006271269"
146.0469,15.41,HilNeg 03/24,,,,,C12269,26.0,"C05938, C05574, C03618, C00979, C03790, C00302, C00217, C00025, C05941, C12269","0.762909319899244, 0.726238132624058, 0.309525500720074, 0.253793179772432, 0.24484925699892, 0.235371927024109, 0.235371927024109, 0.235371927024109, 0.233416794620411, 0.219313992515293"
281.0756,9.91,HilNeg 03/24,,,,,,,C19119,0.75
366.2075,9.39,HilNeg 03/24,,,,,,,C07852,0.75
151.0405,5.71,HilNeg 03/24,,,"C00642, C05593, C05852, C01984","0.4, 0.44, 0.19, 0.55","C05852, C14088","55.0, 29.0","C02181, C10804, C17900, C14103, C00642, C05852, C14088, C02657, C05593, C14108, C01984, C01983, C02519, C10675, C13635, C04043, C02639, C12305, C00755, C13636, C12064, C03663","0.820708795430633, 0.806538446504837, 0.801005637665702, 0.783597440195033, 0.776112296206003, 0.774207679414902, 0.773160140179796, 0.772817309157398, 0.7723030626238, 0.76381571447572, 0.758542103369076, 0.758542103369076, 0.7539798353036, 0.752933109858297, 0.751684875009337, 0.75, 0.743875946165821, 0.743475976639689, 0.727458149426524, 0.709269059071504, 0.709269059071504, 0.657482528521451"
557.2426,10.36,HilNeg 03/24,,,,,,,C06834,0.75
292.1053,19.2,HilNeg 03/24,,,,,,,"C15040, C02713","0.75, 0.118553832083973"
172.0984,20.28,HilNeg 03/24,,,,,,,"C10173, C02710","0.0, 0.0"
479.0981,20.53,HilNeg 03/24,,,,,,,C17880,0.75
285.0884,9.48,HilNeg 03/24,,,,,,,"C03003, C18270, C18285, C18284, C18276, C18275, C14852","0.851642434033387, 0.539810869546199, 0.508666384487473, 0.508666384487473, 0.50154876214851, 0.49468284938599, 0.49468284938599"
327.0503,9.44,HilNeg 03/24,,,,,,,"C19595, C19586, C16756, C10198, C16755, C19585","0.796102860998831, 0.796102860998831, 0.796102860998831, 0.78405749754982, 0.75359359686377, 0.75"
171.0413,13.67,HilNeg 03/24,,,,,,,"C05565, C13739, C20893, C20892","0.75, 0.136922825646644, 0.0195037610671404, 0.0195037610671404"
445.0985,11.06,HilNeg 03/24,,,,,,,C06566,0.75
328.0413,11.45,HilNeg 03/24,,,,,,,"C02353, C02507, C00575, C18661","0.75, 0.439791457088463, 0.307567660996125, 0.04909564356139"
341.1126,9.63,HilNeg 03/24,,,,,"C00208, C05402, C00243, C01083, C00089","100.0, 100.0, 41.0, 36.0, 1.0","C19632, C19634, C19633, C19636, C04147, C02048, C01518, C19773, C07064, C06422, C06421, C02964, C01971, C01970, C00897, C00243, C00208, C00185, C08240, C05402, C05400, C01742, C01728, C00252, C03857, C01725, C20861, C20236, C15548, C08250, C01235, C18068, C04219, C01083, C00089, C01711","0.790085273104942, 0.789290865732841, 0.783173928967668, 0.779996299479266, 0.752775672832001, 0.752775672832001, 0.752775672832001, 0.752537350620371, 0.751986018430251, 0.751986018430251, 0.751986018430251, 0.751986018430251, 0.751986018430251, 0.751986018430251, 0.751986018430251, 0.751986018430251, 0.751986018430251, 0.751986018430251, 0.751271051795361, 0.751271051795361, 0.751271051795361, 0.751271051795361, 0.751271051795361, 0.751271051795361, 0.75055608516047, 0.75055608516047, 0.75, 0.75, 0.740990897509136, 0.740990897509136, 0.740752575297506, 0.739799286450985, 0.739799286450985, 0.739799286450985, 0.739799286450985, 0.739560964239355"
484.2087,11.0,HilNeg 03/24,,,,,,,"C20614, C17999","0.75, 0.75"
417.1611,2.47,HilNeg 03/24,,,,,,,"C09493, C09435, C07267","0.892343000208638, 0.892343000208638, 0.749342125243684"
423.1296,8.74,HilNeg 03/24,,,,,,,"C16816, C07604, C07602, C09309","0.781946420104315, 0.781946420104315, 0.760787102892366, 0.75"
276.0874,9.89,HilNeg 03/24,,,,,,,"C08496, C10948","0.92639831500117, 0.746481020862892"
245.0785,4.61,HilNeg 03/24,,,,,,,"C19707, C09278, C09276, C09210, C09259, C17672","0.751486024946527, 0.751486024946527, 0.751486024946527, 0.751486024946527, 0.75, 0.269159323522469"
480.0795,18.6,HilNeg 03/24,,,,,,,C18409,0.75
623.3528,35.01,HilNeg 03/24,,,,,,,C20007,0.75
295.1253,9.52,HilNeg 03/24,,,,,,,"C07175, C16609","0.753816977027865, 0.75"
334.1052,10.78,HilNeg 03/24,,,,,,,C14343,0.75
247.0352,10.99,HilNeg 03/24,,,,,,,"C18462, C19558, C04622, C04621","0.75, 0.665524595660296, 0.665524595660296, 0.665524595660296"
307.037,13.18,HilNeg 03/24,,,,,,,C17177,0.767337807606264
285.9866,9.13,HilNeg 03/24,,,,,,,C21069,0.75
130.0872,11.36,HilNeg 03/24,,,,,,,"C21096, C21092, C16647, C16439, C16434, C08263, C06418, C02486, C02378, C01933, C01570, C00407, C00123","0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0"
486.1061,14.84,HilNeg 03/24,,,,,,,"C18429, C02555","0.75, 0.478594605628517"
158.0606,9.41,HilNeg 03/24,,,,,,,"C14789, C10663, C06345, C00637","0.0, 0.0, 0.0, 0.0"
