Dataset,Source,Error
string,string,string
meta,meta,meta
HilNeg 03/24,HMDB:120,Invalid KEGG ID (KEGG)
HilNeg 03/24,HMDB:124,Invalid KEGG ID (KEGG)
HilNeg 03/24,HMDB:125,Invalid KEGG ID (KEGG)
HilNeg 03/24,HMDB:305,Invalid Fit (%): not a number (N/A)
HilNeg 03/24,HMDB:311,Invalid Fit (%): not a number (N/A)
HilNeg 03/24,HMDB:317,Invalid Fit (%): not a number (N/A)
HilNeg 03/24,Metlin:0,Invalid Metlin Score: not a number (nan)
HilNeg 03/24,Metlin:1,Invalid Metlin Score: not a number (nan)
HilNeg 03/24,Metlin:2,Invalid Metlin Score: not a number (nan)
HilNeg 03/24,Metlin:3,Invalid Metlin Score: not a number (nan)
HilNeg 03/24,Metlin:4,Invalid Metlin Score: not a number (nan)
HilNeg 03/24,Metlin:5,Invalid Metlin Score: not a number (nan)
HilNeg 03/24,Metlin:6,Invalid Metlin Score: not a number (nan)
HilNeg 03/24,Metlin:7,Invalid Metlin Score: not a number (nan)
HilNeg 03/24,Metlin:8,Invalid Metlin Score: not a number (nan)
HilNeg 03/24,Metlin:10,Invalid Metlin Score: not a number (nan)
HilNeg 03/24,Metlin:12,Invalid Metlin Score: not a number (nan)
HilNeg 03/24,Metlin:13,Invalid Metlin Score: not a number (nan)
HilNeg 03/24,Metlin:14,Invalid Metlin Score: not a number (nan)
HilNeg 03/24,Metlin:15,Invalid Metlin Score: not a number (nan)
HilNeg 03/24,Metlin:16,Invalid Metlin Score: not a number (nan)
HilNeg 03/24,Metlin:17,Invalid Metlin Score: not a number (nan)
HilNeg 03/24,Metlin:18,Invalid Metlin Score: not a number (nan)
HilNeg 03/24,Metlin:19,Invalid Metlin Score: not a number (nan)
HilNeg 03/24,Metlin:20,Invalid Metlin Score: not a number (nan)
HilNeg 03/24,Metlin:21,Invalid Metlin Score: not a number (nan)
HilNeg 03/24,Metlin:23,Invalid Metlin Score: not a number (nan)
HilNeg 03/24,Metlin:24,Invalid Metlin Score: not a number (nan)
HilNeg 03/24,Metlin:25,Invalid Metlin Score: not a number (nan)
HilNeg 03/24,Metlin:26,Invalid Metlin Score: not a number (nan)
HilNeg 03/24,Metlin:27,Invalid Metlin Score: not a number (nan)
HilNeg 03/24,Metlin:28,Invalid Metlin Score: not a number (nan)
HilNeg 03/24,Metlin:29,Invalid Metlin Score: not a number (nan)
HilNeg 03/24,Metlin:30,Invalid Metlin Score: not a number (nan)
HilNeg 03/24,Metlin:31,Invalid Metlin Score: not a number (nan)
HilNeg 03/24,Metlin:32,Invalid Metlin Score: not a number (nan)
HilNeg 03/24,Metlin:33,Invalid Metlin Score: not a number (nan)
HilNeg 03/24,Metlin:34,Invalid Metlin Score: not a number (nan)
HilNeg 03/24,Metlin:35,Invalid Metlin Score: not a number (nan)
HilNeg 03/24,Metlin:36,Invalid Metlin Score: not a number (nan)
HilNeg 03/24,Metlin:37,Invalid Metlin Score: not a number (nan)
HilNeg 03/24,Metlin:40,Invalid Metlin Score: not a number (nan)
HilNeg 03/24,Metlin:41,Invalid Metlin Score: not a number (nan)
HilNeg 03/24,Metlin:42,Invalid Metlin Score: not a number (nan)
HilNeg 03/24,Metlin:43,Invalid Metlin Score: not a number (nan)
HilNeg 03/24,Metlin:45,Invalid Metlin Score: not a number (nan)
HilNeg 03/24,Metlin:46,Invalid Metlin Score: not a number (nan)
HilNeg 03/24,Metlin:47,Invalid Metlin Score: not a number (nan)
HilNeg 03/24,Metlin:48,Invalid Metlin Score: not a number (nan)
HilNeg 03/24,Metlin:49,Invalid Metlin Score: not a number (nan)
HilNeg 03/24,Metlin:51,Invalid Metlin Score: not a number (nan)
HilNeg 03/24,Metlin:52,Invalid Metlin Score: not a number (nan)
HilNeg 03/24,Metlin:53,Invalid Metlin Score: not a number (nan)
HilNeg 03/24,Metlin:55,Invalid Metlin Score: not a number (nan)
HilNeg 03/24,Metlin:56,Invalid Metlin Score: not a number (nan)
HilNeg 03/24,Metlin:57,Invalid Metlin Score: not a number (nan)
HilNeg 03/24,Metlin:58,Invalid Metlin Score: not a number (nan)
HilNeg 03/24,Metlin:59,Invalid Metlin Score: not a number (nan)
HilNeg 03/24,Metlin:60,Invalid Metlin Score: not a number (nan)
HilNeg 03/24,Metlin:61,Invalid KEGG ID (?)
HilNeg 03/24,Metlin:62,Invalid Metlin Score: not a number (nan)
HilNeg 03/24,Metlin:63,Invalid Metlin Score: not a number (nan)
HilNeg 03/24,Metlin:64,Invalid Metlin Score: not a number (nan)
HilNeg 03/24,Metlin:66,Invalid Metlin Score: not a number (nan)
HilNeg 03/24,Metlin:67,Invalid KEGG ID (?)
HilNeg 03/24,Metlin:68,Invalid KEGG ID (?)
HilNeg 03/24,Metlin:69,Invalid Metlin Score: not a number (nan)
HilNeg 03/24,Metlin:70,Invalid Metlin Score: not a number (nan)
HilNeg 03/24,Metlin:73,Invalid Metlin Score: not a number (nan)
HilNeg 03/24,Metlin:74,Invalid Metlin Score: not a number (nan)
HilNeg 03/24,Metlin:75,Invalid Metlin Score: not a number (nan)
HilNeg 03/24,Metlin:76,Invalid Metlin Score: not a number (nan)
HilNeg 03/24,Metlin:77,Invalid Metlin Score: not a number (nan)
HilNeg 03/24,Metlin:78,Invalid Metlin Score: not a number (nan)
HilNeg 03/24,Metlin:82,Invalid Metlin Score: not a number (nan)
HilNeg 03/24,Metlin:83,Invalid Metlin Score: not a number (nan)
HilNeg 03/24,Metlin:84,Invalid Metlin Score: not a number (nan)
HilNeg 03/24,Metlin:85,Invalid Metlin Score: not a number (nan)
HilNeg 03/24,Metlin:86,Invalid Metlin Score: not a number (nan)
HilNeg 03/24,Metlin:87,Invalid Metlin Score: not a number (nan)
HilNeg 03/24,Metlin:88,Invalid Metlin Score: not a number (nan)
HilNeg 03/24,Metlin:89,Invalid Metlin Score: not a number (nan)
HilNeg 03/24,Metlin:90,Invalid Metlin Score: not a number (nan)
HilNeg 03/24,Metlin:91,Invalid Metlin Score: not a number (nan)
HilNeg 03/24,Metlin:92,Invalid Metlin Score: not a number (nan)
HilNeg 03/24,Metlin:93,Invalid Metlin Score: not a number (nan)
HilNeg 03/24,Metlin:94,Invalid Metlin Score: not a number (nan)
HilNeg 03/24,Metlin:95,Invalid Metlin Score: not a number (nan)
HilNeg 03/24,Metlin:96,Invalid Metlin Score: not a number (nan)
HilNeg 03/24,Metlin:97,Invalid Metlin Score: not a number (nan)
HilNeg 03/24,Metlin:98,Invalid Metlin Score: not a number (nan)
HilNeg 03/24,Metlin:99,Invalid Metlin Score: not a number (nan)
HilNeg 03/24,Metlin:102,Invalid Metlin Score: not a number (nan)
HilNeg 03/24,Metlin:103,Invalid Metlin Score: not a number (nan)
HilNeg 03/24,Metlin:104,Invalid Metlin Score: not a number (nan)
HilNeg 03/24,Metlin:106,Invalid Metlin Score: not a number (nan)
HilNeg 03/24,Metlin:107,Invalid Metlin Score: not a number (nan)
HilNeg 03/24,Metlin:108,Invalid Metlin Score: not a number (nan)
HilNeg 03/24,Metlin:110,Invalid Metlin Score: not a number (nan)
HilNeg 03/24,Metlin:112,Invalid KEGG ID (?)
HilNeg 03/24,Metlin:113,Invalid KEGG ID (?)
HilNeg 03/24,Metlin:118,Invalid KEGG ID (?)
HilNeg 03/24,Metlin:119,Invalid KEGG ID (?)
HilNeg 03/24,Metlin:122,Invalid Metlin Score: not a number (nan)
HilNeg 03/24,Metlin:124,Invalid Metlin Score: not a number (nan)
HilNeg 03/24,Metlin:125,Invalid Metlin Score: not a number (nan)
HilNeg 03/24,Metlin:126,Invalid Metlin Score: not a number (nan)
HilNeg 03/24,Metlin:127,Invalid Metlin Score: not a number (nan)
HilNeg 03/24,Metlin:128,Invalid Metlin Score: not a number (nan)
HilNeg 03/24,Metlin:129,Invalid Metlin Score: not a number (nan)
HilNeg 03/24,Metlin:130,Invalid Metlin Score: not a number (nan)
HilNeg 03/24,Metlin:131,Invalid Metlin Score: not a number (nan)
HilNeg 03/24,Metlin:132,Invalid Metlin Score: not a number (nan)
HilNeg 03/24,Metlin:133,Invalid Metlin Score: not a number (nan)
HilNeg 03/24,Metlin:134,Invalid Metlin Score: not a number (nan)
HilNeg 03/24,Metlin:135,Invalid Metlin Score: not a number (nan)
HilNeg 03/24,Metlin:136,Invalid Metlin Score: not a number (nan)
HilNeg 03/24,Metlin:137,Invalid Metlin Score: not a number (nan)
HilNeg 03/24,Metlin:138,Invalid Metlin Score: not a number (nan)
HilNeg 03/24,Metlin:139,Invalid KEGG ID (?)
HilNeg 03/24,Metlin:140,Invalid Metlin Score: not a number (nan)
HilNeg 03/24,Metlin:141,Invalid Metlin Score: not a number (nan)
HilNeg 03/24,Metlin:143,Invalid Metlin Score: not a number (nan)
HilNeg 03/24,Metlin:144,Invalid Metlin Score: not a number (nan)
HilNeg 03/24,Metlin:146,Invalid KEGG ID (?)
HilNeg 03/24,Metlin:147,Invalid KEGG ID (?)
HilNeg 03/24,Metlin:148,Invalid KEGG ID (?)
HilNeg 03/24,Metlin:150,Invalid KEGG ID (?)
HilNeg 03/24,Metlin:151,Invalid KEGG ID (?)
