Precursor Mass,Retention Time,Observation Confidence,Average Observation Score,Compound
continuous,continuous,continuous,continuous,string
,,,,meta
165.0549,10.33,0.768730118515,0.768730118515,C01772
323.1461,12.58,0.823935193283,0.823935193283,C20351
464.3014,2.59,0.75,0.75,C17706
379.2494,2.63,0.686559597996,0.686559597996,C10320
130.0502,16.69,0.779360315678,0.564680157839,C01879
489.055,10.83,0.75,0.75,C18855
353.0428,11.04,0.75,0.75,C08727
384.1508,9.34,0.913903894995,0.913903894995,C06372
393.2093,2.66,0.75,0.75,C15319
248.0592,15.79,0.074340520275,0.074340520275,C18604
240.1095,12.74,0.75,0.75,C00268
146.0601,9.65,0.812756461686,0.812756461686,C06324
777.6973,2.07,0.88,0.815,C01829
130.0969,10.48,0.678508809233,0.678508809233,C19782
501.164,10.69,0.824550877538,0.824550877538,C17350
381.1358,10.74,0.336114237094,0.336114237094,C08358
130.0969,10.48,0.678508809233,0.678508809233,C19778
166.0866,9.24,0.888383633653,0.888383633653,C02057
359.154,10.7,0.819845875542,0.819845875542,C05366
182.0812,10.33,0.737262380041,0.737262380041,C19712
221.0918,9.8,0.753664317629,0.686832158814,C00643
118.087,9.31,0.75,0.75,C01799
295.0756,25.08,0.75,0.75,C06981
324.0603,25.11,0.75,0.405,C15617
277.1042,25.04,0.0143498949501,0.0143498949501,C17483
156.0772,11.15,0.75,0.586666666667,C00135
152.0705,7.91,0.786999830469,0.786999830469,C03522
359.154,10.7,0.828346139997,0.539173069999,C10682
151.0615,4.48,0.753391209984,0.753391209984,C21057
147.1133,11.02,0.776967739209,0.763483869605,C00739
267.0981,25.08,0.195379752285,0.195379752285,C14474
337.9813,11.1,0.75,0.75,C19126
271.0641,9.98,0.15,0.143011084885,C07486
327.1244,34.77,0.640679936525,0.640679936525,C08244
168.0634,13.82,0.565231829134,0.565231829134,C06051
134.06,7.92,0.710788788081,0.67039439404,C12312
152.0705,7.91,0.493635661963,0.493635661963,C02709
666.3938,2.82,0.75,0.75,C13898
318.1665,16.78,0.75,0.75,C12238
583.2935,9.9,0.75,0.75,C09999
251.1608,10.73,0.813041514575,0.813041514575,C09689
252.1081,12.4,0.51691657007,0.51691657007,C02517
277.0389,11.14,0.75,0.75,C15627
150.0545,7.21,0.206123471262,0.206123471262,C05578
259.0927,16.27,0.234318729792,0.234318729792,C10268
421.1972,34.44,0.75,0.75,C14636
146.0601,9.65,0.75,0.505,C19434
258.1088,5.14,0.763199194973,0.676599597486,C07149
350.122,13.05,0.766754376544,0.766754376544,C11749
227.079,9.43,0.354299237828,0.354299237828,C16365
172.097,25.03,0.670154465247,0.670154465247,C10284
120.0658,10.61,0.75,0.473333333333,C00263
357.1335,14.13,0.761967469322,0.761967469322,C10549
464.1294,26.07,0.75,0.75,C12141
235.061,8.85,0.75,0.75,C20124
166.0866,9.24,0.838831179358,0.838831179358,C20487
273.0339,34.98,0.75,0.75,C17692
327.0662,11.24,0.75,0.75,C02750
132.081,9.42,0.797571980285,0.797571980285,C02596
130.0503,10.69,0.76877676612,0.76877676612,C01877
176.0704,2.63,0.800852744472,0.800852744472,C02298
150.0548,4.14,0.127299324618,0.127299324618,C00650
438.2812,13.03,0.75,0.75,C13804
190.0706,25.02,0.35,0.335131021206,C00624
249.0642,24.97,0.75,0.75,C10742
221.0918,9.8,0.75,0.535,C01017
357.1335,14.13,0.52271036382,0.52271036382,C18024
182.0812,10.33,0.749818629965,0.749818629965,C20807
148.0609,16.68,0.477430446283,0.477430446283,C05938
182.0812,10.33,0.186370182097,0.186370182097,C19579
255.046,14.64,0.75,0.75,C08275
170.013,13.85,0.75,0.75,C00506
240.1095,12.74,0.614456471515,0.582228235758,C02953
472.0553,10.41,0.75,0.75,C08103
357.1335,14.13,0.535432085857,0.535432085857,C17855
278.0876,20.79,0.75,0.75,C19232
474.1215,17.81,0.75,0.75,C05674
570.141,10.52,0.0,0.0,C15343
295.1144,14.27,0.75,0.75,C09570
666.3911,9.83,0.75,0.75,C13898
384.1508,9.34,0.290291309869,0.290291309869,C19784
310.1143,21.25,0.685565684108,0.685565684108,C03525
319.1886,13.49,0.75,0.75,C14983
243.0275,16.57,0.765131389573,0.765131389573,C16848
324.0415,9.66,0.75,0.75,C14434
