Dataset,Source,Error
string,string,string
meta,meta,meta
HilPos 03/24,HMDB:59,Invalid KEGG ID (KEGG)
HilPos 03/24,HMDB:63,Invalid KEGG ID (KEGG)
HilPos 03/24,HMDB:67,Invalid KEGG ID (KEGG)
HilPos 03/24,HMDB:81,Invalid KEGG ID (KEGG)
HilPos 03/24,HMDB:109,Invalid Fit (%): not a number (N/A)
HilPos 03/24,HMDB:110,Invalid KEGG ID (KEGG)
HilPos 03/24,HMDB:137,Invalid KEGG ID (KEGG)
HilPos 03/24,HMDB:140,Invalid KEGG ID (KEGG)
HilPos 03/24,HMDB:141,Invalid KEGG ID (KEGG)
HilPos 03/24,HMDB:144,Invalid KEGG ID (KEGG)
HilPos 03/24,HMDB:159,Invalid KEGG ID (KEGG)
HilPos 03/24,HMDB:177,Invalid KEGG ID (KEGG)
HilPos 03/24,HMDB:187,Invalid Fit (%): not a number (N/A)
HilPos 03/24,HMDB:203,Invalid KEGG ID (KEGG)
HilPos 03/24,HMDB:213,Invalid KEGG ID (KEGG)
HilPos 03/24,HMDB:220,Invalid KEGG ID (KEGG)
HilPos 03/24,HMDB:239,Invalid KEGG ID (KEGG)
HilPos 03/24,HMDB:292,Invalid Fit (%): not a number (N/A)
HilPos 03/24,HMDB:364,Invalid KEGG ID (KEGG)
HilPos 03/24,HMDB:365,Invalid KEGG ID (KEGG)
HilPos 03/24,HMDB:366,Invalid KEGG ID (KEGG)
HilPos 03/24,HMDB:369,Invalid KEGG ID (KEGG)
HilPos 03/24,HMDB:370,Invalid KEGG ID (KEGG)
HilPos 03/24,HMDB:583,Invalid KEGG ID (KEGG)
HilPos 03/24,HMDB:762,Invalid KEGG ID (KEGG)
HilPos 03/24,HMDB:807,Invalid KEGG ID (KEGG)
HilPos 03/24,HMDB:1602,Invalid Fit (%): not a number (N/A)
HilPos 03/24,Metlin:0,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:1,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:2,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:3,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:4,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:5,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:6,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:7,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:8,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:9,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:10,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:11,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:12,Invalid KEGG ID (?)
HilPos 03/24,Metlin:14,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:15,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:16,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:22,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:23,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:26,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:27,Invalid KEGG ID (?)
HilPos 03/24,Metlin:28,Invalid KEGG ID (?)
HilPos 03/24,Metlin:30,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:31,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:34,Invalid KEGG ID (?)
HilPos 03/24,Metlin:38,Invalid KEGG ID (?)
HilPos 03/24,Metlin:39,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:44,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:45,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:47,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:48,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:49,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:53,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:54,Invalid KEGG ID (?)
HilPos 03/24,Metlin:57,Invalid KEGG ID (?)
HilPos 03/24,Metlin:59,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:60,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:61,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:62,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:68,Invalid KEGG ID (?)
HilPos 03/24,Metlin:71,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:74,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:79,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:80,Invalid KEGG ID (?)
HilPos 03/24,Metlin:83,Invalid KEGG ID (?)
HilPos 03/24,Metlin:84,Invalid KEGG ID (?)
HilPos 03/24,Metlin:85,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:87,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:89,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:90,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:91,Invalid KEGG ID (?)
HilPos 03/24,Metlin:93,Invalid KEGG ID (?)
HilPos 03/24,Metlin:95,Invalid KEGG ID (?)
HilPos 03/24,Metlin:97,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:100,Invalid KEGG ID (?)
HilPos 03/24,Metlin:105,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:106,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:107,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:108,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:109,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:110,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:111,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:112,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:114,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:117,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:119,Invalid KEGG ID (?)
HilPos 03/24,Metlin:121,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:123,Invalid KEGG ID (?)
HilPos 03/24,Metlin:124,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:125,Invalid KEGG ID (?)
HilPos 03/24,Metlin:126,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:127,Invalid KEGG ID (?)
HilPos 03/24,Metlin:128,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:130,Invalid KEGG ID (?)
HilPos 03/24,Metlin:131,Invalid KEGG ID (?)
HilPos 03/24,Metlin:132,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:133,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:134,Invalid KEGG ID (?)
HilPos 03/24,Metlin:135,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:136,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:138,Invalid KEGG ID (?)
HilPos 03/24,Metlin:140,Invalid KEGG ID (?)
HilPos 03/24,Metlin:141,Invalid KEGG ID (?)
HilPos 03/24,Metlin:142,Invalid KEGG ID (?)
HilPos 03/24,Metlin:145,Invalid KEGG ID (?)
HilPos 03/24,Metlin:146,Invalid KEGG ID (?)
HilPos 03/24,Metlin:148,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:149,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:154,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:155,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:157,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:158,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:162,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:163,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:164,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:165,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:169,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:170,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:171,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:172,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:173,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:174,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:175,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:176,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:177,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:178,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:179,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:181,Invalid KEGG ID (?)
HilPos 03/24,Metlin:184,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:185,Invalid KEGG ID (?)
