Precursor Mass,Retention Time,Observation Confidence,Average Observation Score,Compound
continuous,continuous,continuous,continuous,string
,,,,meta
421.0726,55.0,0.762506871908,0.762506871908,C10095
373.1177,43.46,0.805369778924,0.805369778924,C18591
413.1342,12.38,0.75,0.75,C06667
449.1651,12.88,0.75,0.75,C15080
404.0562,16.47,0.75,0.75,C18459
175.0244,2.45,0.841807909605,0.841807909605,C19806
339.0884,14.99,0.812468081853,0.812468081853,C14877
323.0939,16.51,0.23675812477,0.23675812477,C04333
441.1713,16.82,0.75,0.75,C10474
137.0248,53.6,0.75,0.44,C16700
146.0455,14.24,0.0207206847103,0.0207206847103,C03618
133.0144,17.71,1.0,0.888796250197,C00497
135.045,50.1,0.0,0.0,C10761
259.0221,12.87,0.52682349249,0.52682349249,C03267
470.1445,46.51,0.75,0.75,C03204
394.9946,12.3,0.75,0.75,C08076
419.1252,43.45,0.828162444368,0.828162444368,C14918
116.0713,16.51,0.0,0.0,C15987
307.0956,49.75,0.75,0.75,C08549
101.0606,3.34,0.0,0.0,C18319
194.0463,46.03,0.75,0.75,C04274
149.0452,15.31,0.0,0.0,C00312
291.0449,54.54,0.681396754668,0.681396754668,C19234
188.0921,49.5,0.296364645931,0.296364645931,C11843
337.0738,16.49,0.480781585177,0.480781585177,C10942
191.0193,14.26,0.753625290023,0.753625290023,C20896
119.0498,1.28,0.0303447659577,0.0303447659577,C20782
279.1643,7.06,0.75,0.75,C19417
137.0251,51.58,0.816545123063,0.608272561531,C16700
193.0354,52.43,0.374163917986,0.374163917986,C20248
219.0777,44.9,0.756469820304,0.756469820304,C01017
311.1118,14.07,0.749117706973,0.749117706973,C06080
367.0645,13.24,0.75,0.75,C20022
305.0245,2.84,0.75,0.75,C06673
87.0459,49.22,0.0,0.0,C01769
423.1669,16.64,0.216266396366,0.216266396366,C10463
165.0189,35.71,0.483663321398,0.483663321398,C01606
445.1933,29.54,0.0368758751192,0.0368758751192,C10894
359.1282,25.47,0.276901414199,0.276901414199,C13487
164.0717,43.81,0.755002742296,0.462501371148,C00079
193.0349,13.51,0.169343248979,0.169343248979,C19137
299.0696,42.77,0.75,0.75,C13414
394.0275,16.46,0.75,0.75,C08110
167.0343,36.23,0.0,0.0,C07087
333.0607,14.3,0.755934013767,0.755934013767,C04703
248.13,5.02,0.818465154302,0.818465154302,C20983
135.045,50.1,0.75,0.75,C01454
198.0746,25.69,0.75,0.75,C20941
490.165,52.63,0.75,0.75,C11814
180.0671,25.18,0.534803821284,0.534803821284,C01536
308.0996,20.59,0.761894463668,0.761894463668,C21053
117.0564,51.36,0.0,0.0,C02804
545.0527,16.77,0.799799465241,0.799799465241,C00688
191.0196,12.52,0.75,0.75,C21095
421.0726,55.0,0.75,0.75,C10077
190.0507,43.08,0.409349294267,0.409349294267,C06725
179.0562,14.03,0.842216216216,0.842216216216,C06465
147.0447,1.27,1.0,0.913343826513,C00423
179.0562,14.03,0.826582201871,0.826582201871,C08351
130.0872,25.79,0.0,0.0,C00123
396.1167,49.6,0.75,0.75,C16910
427.1218,12.33,0.75,0.75,C09425
256.0592,14.36,0.0,0.0,C14428
179.0562,14.03,0.842216216216,0.446108108108,C00267
118.0508,14.07,0.75,0.75,C00263
323.1422,48.62,0.75,0.75,C20353
164.0346,2.89,0.75,0.585,C05653
445.2186,28.91,0.0,0.0,C09468
339.0884,14.99,0.232042621003,0.232042621003,C05731
401.1231,12.34,0.845096090126,0.845096090126,C09262
586.0626,54.63,0.75,0.75,C14830
161.045,14.07,0.365494733032,0.365494733032,C02488
445.2391,13.95,0.75,0.75,C11602
159.0662,53.72,0.75,0.566666666667,C02656
161.045,14.07,0.810765394623,0.810765394623,C11592
145.0977,12.74,0.75,0.75,C01142
191.02,54.61,0.859296482412,0.859296482412,C02780
191.0193,14.26,0.829075007677,0.829075007677,C04575
243.0812,52.58,0.785648319173,0.402824159586,C00120
411.1123,52.26,0.816415942928,0.816415942928,C18516
111.0195,16.93,0.75,0.75,C18474
471.1683,16.73,0.75,0.75,C18681
359.078,50.19,0.0503326066995,0.0503326066995,C10116
259.0221,12.87,0.54657156341,0.54657156341,C06155
280.1056,14.26,0.5859213739,0.5859213739,C05031
