Observation Confidence,Average Observation Score,Compound
0.518669280006,0.518669280006,C00104
0.610636746926,0.423004336975,C00025
1.0,0.896698854837,C00214
0.87,0.79172678519,C00526
0.840831520484,0.480415760242,C00105
0.850693667487,0.850693667487,C00429
0.728534823125,0.728534823125,C21029
0.790029469548,0.790029469548,C00015
0.67831714514,0.67831714514,C02642
0.81678220216,0.81678220216,C00008
1.0,0.857829453467,C00299
0.813041486171,0.813041486171,C00064
0.75,0.75,C00364
0.0,0.0,C00099
0.0,0.0,C01205
0.760632344712,0.760632344712,C21028
0.0,0.0,C00475
0.75,0.75,C00049
0.74,0.641824208101,C00881
0.75,0.75,C00361
0.807994896874,0.763187498177,C00106
