Parameter, Mean, SD, MC Error, Lower 95% HPD, Upper 95% HPD, q2.5, q25, q50, q75, q97.5
b_{cge00010,C00009}, 0.141539028729, 0.264343137077, 0.00763997321739, 1.04530145004e-05, 0.664644066764, 2.0624409145e-05, 0.00209718489303, 0.0285507658766, 0.154128503726, 0.948630789097
b_{cge00010,C00011}, 0.137617902702, 0.271310881479, 0.0116224193154, 3.72529230652e-06, 0.588764914111, 3.20942894246e-05, 0.00304902041655, 0.0312132575364, 0.153566534434, 0.82460990415
b_{cge00010,C00013}, 0.136972054017, 0.264388710917, 0.0120580553851, 5.74495503177e-06, 0.630873596794, 1.10031407357e-05, 0.00329941803395, 0.0292528208874, 0.146894615062, 0.92638193715
b_{cge00010,C00022}, 0.122369621296, 0.253007531419, 0.0111880646723, 1.44387218379e-07, 0.640090432578, 1.44387218379e-07, 0.0012930564601, 0.017212397421, 0.115144332312, 0.890218160583
b_{cge00010,C00033}, 0.113933346277, 0.222225672493, 0.00995321432424, 1.62572418223e-07, 0.564113784112, 2.83237412511e-06, 0.00176244587258, 0.0212343074493, 0.118641504323, 0.772605734484
b_{cge00010,C00036}, 0.135453162174, 0.247586764255, 0.00740426057945, 2.00029601496e-05, 0.62890594527, 3.09036897121e-05, 0.00340104891825, 0.0311836526347, 0.157102088924, 0.856589537702
b_{cge00010,C00074}, 0.135998270729, 0.274776243363, 0.00965797105088, 4.83975490609e-06, 0.620864681579, 1.77222858672e-05, 0.00197319999715, 0.0274736157154, 0.144323204174, 0.902435023004
b_{cge00010,C00080}, 0.136610022168, 0.241910698845, 0.00714038839217, 1.51444281109e-05, 0.646785534459, 4.19421323248e-05, 0.00316912970842, 0.031746142831, 0.154853457663, 0.87955537429
b_{cge00010,C00084}, 0.14586457307, 0.273890208522, 0.0109720783479, 1.00401192192e-05, 0.684410592575, 1.2633803825e-05, 0.00271092738657, 0.0302124500522, 0.160007023683, 1.00857400572
b_{cge00010,C00103}, 0.128158706077, 0.240611540035, 0.0109437592683, 1.22276508186e-06, 0.629327859985, 1.90974717682e-06, 0.00225753730501, 0.0246358340434, 0.138455223335, 0.875583575264
