Parameter, Mean, SD, MC Error, Lower 95% HPD, Upper 95% HPD, q2.5, q25, q50, q75, q97.5
b_{a,1}, 1.28039242126e-62, 2.73493277457e-62, 2.44121816086e-63, 3.547998372e-67, 7.23593312484e-62, 8.80467622929e-67, 4.27218772758e-66, 2.5549128311e-64, 1.1657929313e-62, 1.01120920259e-61
b_{a,2}, 1.38277022528e-65, 2.96000311507e-65, 2.71233176246e-66, 9.40589912934e-70, 7.49944573936e-65, 9.40589912934e-70, 4.53593194447e-69, 2.0918741778e-67, 1.21715922985e-65, 8.71190135357e-65
b_{b,2}, 1.74233902238, 1.5247593266, 0.0843694108271, 0.0137272964762, 4.90226908588, 0.0898159515329, 0.682575090739, 1.29157918919, 2.33193761253, 5.99504120629
b_{c,3}, 1.70376523976, 1.53416613073, 0.070648642844, 0.0307548760135, 4.68793921642, 0.146887019203, 0.652152798369, 1.33492690688, 2.25175162886, 5.91767596474
g_1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
g_2, 0.668717948718, 0.470674254427, 0.0160535369742, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0
g_3, 0.669743589744, 0.470305340966, 0.0187547524841, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0
p_a, 0.00840695917317, 0.00548184349601, 0.000204382519675, 0.000579223682252, 0.0191488604946, 0.00134589082665, 0.004444479104, 0.00726759498542, 0.0109923887795, 0.021947158471
p_b, 1.23044812076, 1.0361154601, 0.0623079104714, 0.0102640410716, 3.25214442572, 0.08582236634, 0.478674677974, 0.98378106054, 1.70148777622, 3.97724886219
p_c, 1.23629638671, 1.04722115139, 0.0449383620603, 0.0140645394951, 3.30692886264, 0.0807713053423, 0.515117380452, 0.911651560316, 1.64753072719, 4.15687936062
