Parameter, Mean, SD, MC Error, Lower 95% HPD, Upper 95% HPD, q2.5, q25, q50, q75, q97.5
b_{cge00010,C00009}, 0.712786932115, 1.0139051957, 0.0532922401157, 1.85633658324e-22, 2.77757610525, 2.71646791944e-06, 0.043864604828, 0.31084815315, 0.984000571812, 3.63010286143
b_{cge00010,C00011}, 0.771277447748, 1.02362070603, 0.0588397686446, 3.69931782683e-32, 2.92433737024, 1.23573387195e-06, 0.0611345815635, 0.358228512198, 1.11615448737, 3.48199540872
b_{cge00010,C00013}, 0.728244366215, 0.974613693959, 0.0564377614069, 2.58837520575e-42, 2.63435938098, 1.90371910973e-06, 0.0429570657824, 0.341812242917, 1.02464628109, 3.55848224049
b_{cge00010,C00022}, 0.759048254397, 1.03925152437, 0.0540685123188, 7.4512982486e-36, 2.9587341971, 1.21677229549e-07, 0.0545846655422, 0.343334296728, 1.06772360075, 3.75080118296
b_{cge00010,C00033}, 0.777087970529, 1.13005133232, 0.0654555972596, 1.00392051719e-19, 2.86129114857, 6.06373750053e-08, 0.0478215411969, 0.350877927272, 1.07475550741, 3.97927681336
b_{cge00010,C00036}, 0.742199266445, 1.07613070511, 0.0565360190953, 5.593042922e-16, 2.85132520158, 5.09574773507e-07, 0.0553896344072, 0.316253189147, 0.993895765809, 3.88140646442
b_{cge00010,C00074}, 0.784082861685, 1.02853922588, 0.054990072642, 3.5843122894e-29, 3.04183527199, 1.37231697635e-07, 0.047388016005, 0.341003735115, 1.09498184646, 3.78934500065
b_{cge00010,C00080}, 0.745237412441, 1.01410486939, 0.055380913929, 8.8102618896e-21, 2.87821110813, 5.58049468508e-07, 0.0573705993301, 0.346811114618, 1.05338677666, 3.6940755198
b_{cge00010,C00084}, 0.779664386067, 1.08087701061, 0.0575105062998, 1.06748248696e-29, 2.73135541978, 1.83386021741e-07, 0.049228482531, 0.394077780684, 1.13777436931, 3.85064869829
b_{cge00010,C00103}, 0.755573128059, 1.1308028129, 0.0653086676434, 9.72085240736e-22, 2.85691600584, 1.72399348003e-07, 0.0476423175327, 0.308572144329, 1.0491590708, 4.01505211067
b_{cge00010,C00111}, 0.778044834213, 1.10754381351, 0.059539849952, 8.56770704503e-24, 3.09832555397, 1.98435819163e-06, 0.0531048988052, 0.310310563123, 1.08766934863, 3.8645150947
b_{cge00010,C00118}, 0.820505173634, 1.10025521083, 0.0622831703986, 3.84205393564e-21, 3.17034035279, 1.85156392798e-07, 0.0485264753918, 0.380612690375, 1.14981500273, 3.89466504177
b_{cge00010,C00186}, 0.894020288002, 0.738706887925, 0.0391127749142, 0.00285761988572, 2.3407838716, 0.041485516258, 0.337940303654, 0.703087792524, 1.21736247109, 2.7360373524
b_{cge00010,C00197}, 0.75972713326, 1.05724984013, 0.0638829624792, 1.15510315102e-27, 2.93032230599, 6.74368423782e-07, 0.0571343657637, 0.348299459322, 1.00021203757, 3.72287891359
b_{cge00010,C00221}, 0.746337268868, 0.990535136568, 0.049875019355, 2.16200750534e-19, 2.74345384658, 2.41956486502e-07, 0.0607732822347, 0.364003283311, 1.05588201186, 3.47519610836
b_{cge00010,C00236}, 0.705720356269, 1.00278029157, 0.0504510235537, 1.46648465996e-22, 2.53958547807, 1.13506809169e-06, 0.0484889230136, 0.320901784757, 0.945260469295, 3.48089099937
b_{cge00010,C00267}, 0.527110777985, 0.67787228838, 0.0459690379456, 0.000128233819459, 1.91312953099, 0.000128233819459, 0.034172016927, 0.271841032373, 0.735134097124, 2.41108081794
b_{cge00010,C00469}, 0.738704971645, 1.00514465639, 0.0597453484281, 1.79629997952e-17, 2.8631627336, 1.62540978895e-07, 0.0405540249666, 0.340192263243, 1.04304642746, 3.66906187921
b_{cge00010,C00631}, 0.772779525106, 1.06047811509, 0.0569278922559, 4.55351471942e-29, 3.0274484298, 1.9419979894e-06, 0.0392004878136, 0.342902689871, 1.06098045157, 3.92048954204
b_{cge00010,C00668}, 0.746786410954, 1.03358873352, 0.0552842362768, 2.14789583698e-49, 2.8639065226, 2.67893206383e-07, 0.0440879635656, 0.360072252486, 1.04372619341, 3.68845653024
b_{cge00010,C01159}, 0.723856165833, 1.00744939651, 0.0543762119114, 1.73742064758e-21, 2.69862047984, 1.80880179543e-06, 0.05029850755, 0.31684287411, 1.03089207394, 3.518401011
b_{cge00010,C01172}, 0.751526997995, 1.05032407183, 0.0521492148932, 2.85093599898e-18, 2.90473311971, 9.7236455789e-07, 0.047876176587, 0.348868100295, 1.02872554756, 3.57816537475
b_{cge00010,C05125}, 0.781331440559, 1.05017289499, 0.0597594506471, 9.95690841425e-34, 2.81924058884, 4.53748029624e-07, 0.0568341581661, 0.36099703214, 1.06897211241, 3.97463008963
b_{cge00010,C05345}, 0.758141474685, 1.04617389004, 0.0551528660744, 2.03242587511e-28, 2.97283446668, 1.73925159434e-06, 0.0586355583233, 0.339058266097, 1.01164442696, 3.94081388774
b_{cge00010,C05378}, 0.757770335461, 1.03570260382, 0.0578445852679, 3.21288708049e-39, 2.84814679573, 3.74518454937e-07, 0.0636359564719, 0.341600630614, 1.04467766372, 3.77153616708
b_{cge00010,C15972}, 0.82122487482, 1.20927417345, 0.0623301848951, 1.06522397424e-21, 3.30757132742, 1.87515142676e-07, 0.0484329011204, 0.313780152789, 1.12839190783, 4.14194084594
b_{cge00010,C15973}, 0.712521829887, 0.957509774595, 0.0528000811178, 6.56324553337e-26, 2.74970719519, 1.89298587488e-06, 0.0448510669356, 0.296578481377, 1.04290227788, 3.30477760176
b_{cge00010,C16255}, 0.798305721821, 1.09096043647, 0.0605655708221, 2.89472965755e-30, 3.19229040299, 1.37866598464e-06, 0.0503186424164, 0.356255343761, 1.11959776104, 3.81992755719
b_{cge00020,C00009}, 0.0757118744492, 0.268750007689, 0.00815813060029, 1.56110366818e-173, 0.441207225368, 2.23826934824e-32, 2.07436298533e-10, 1.36907958643e-05, 0.0114835599048, 0.817949983349
b_{cge00020,C00011}, 0.0866507499389, 0.312373966684, 0.0109627348459, 1.63630723378e-124, 0.484603405278, 1.65816643365e-34, 9.37862434778e-11, 2.13388569201e-05, 0.0137120253662, 0.910906418748
b_{cge00020,C00022}, 0.097255623687, 0.323948149016, 0.0125963318731, 6.3092399568e-203, 0.616697567887, 3.06598898231e-40, 5.770524628e-10, 4.57519225017e-05, 0.0196017032031, 1.03676677071
b_{cge00020,C00026}, 0.0678533886412, 0.278249318434, 0.00951127632988, 1.59583074825e-98, 0.38037116656, 2.28528321528e-34, 6.81418866728e-11, 2.17852332696e-05, 0.010562932021, 0.70037869328
b_{cge00020,C00036}, 0.0782508093654, 0.293337995345, 0.00929734902589, 3.86699358748e-117, 0.446469580427, 1.04796393455e-31, 2.81866471973e-10, 2.57370563277e-05, 0.0138616595407, 0.814238426883
b_{cge00020,C00042}, 0.0819441498989, 0.163279715493, 0.0136381433088, 1.75329135826e-06, 0.474157686571, 1.75329135826e-06, 0.000144623372381, 0.00412802611429, 0.0704275390586, 0.580535770874
b_{cge00020,C00074}, 0.0811880802215, 0.277469504114, 0.0093082537099, 3.31162243565e-139, 0.506020495379, 7.81073235807e-36, 6.29151447436e-10, 5.04556256969e-05, 0.015978423977, 0.756124092789
b_{cge00020,C00080}, 0.0685257697604, 0.250223132505, 0.00857946032473, 2.36379619801e-59, 0.346107925647, 3.47341547543e-32, 1.1001806274e-09, 3.93358822027e-05, 0.0124261813724, 0.773660102988
b_{cge00020,C00091}, 0.0654527313423, 0.239210493595, 0.00739923407167, 9.27242671365e-69, 0.391818217115, 8.00319461332e-38, 2.70677472591e-10, 3.54230812192e-05, 0.0101924552078, 0.688556830612
b_{cge00020,C00122}, 0.00113777182612, 0.00293060117516, 0.000286926094284, 4.77554271051e-08, 0.00575595974782, 4.77554271051e-08, 4.77554271051e-08, 7.10265915041e-06, 0.00046674830336, 0.00985293977282
b_{cge00020,C00149}, 0.0727066999676, 0.239659818568, 0.00794555462105, 7.99957396848e-79, 0.442526921876, 9.8284091872e-34, 6.11791883428e-10, 1.36799377249e-05, 0.0148447360667, 0.802737367549
b_{cge00020,C00158}, 1.07095461113e-12, 3.39676619334e-12, 3.31882314818e-13, 2.97777581673e-17, 7.34167472454e-12, 2.97777581673e-17, 4.37228048849e-16, 1.92044264755e-14, 2.7853355039e-13, 1.45499928439e-11
b_{cge00020,C00311}, 0.000188025634373, 0.00033458664523, 2.96579732715e-05, 4.16405197658e-08, 0.00101486254432, 4.16405197658e-08, 6.84330116696e-07, 1.75992502543e-05, 0.000201435568378, 0.00122084567733
b_{cge00020,C00417}, 0.0807960597789, 0.272281058256, 0.00911525350319, 2.46017958336e-103, 0.474756487446, 9.119935087e-34, 1.31318006808e-10, 3.84756438685e-05, 0.0236443004102, 0.781626846157
