Parameter, Mean, SD, MC Error, Lower 95% HPD, Upper 95% HPD, q2.5, q25, q50, q75, q97.5
b_{cge00010,C00009}, 8.88067237178e-148, 2.56656186622e-147, 1.02870043405e-148, 1.10966913513e-154, 6.34247584896e-147, 5.57936942361e-154, 3.64407834214e-151, 5.41205699445e-150, 1.80982342388e-148, 1.03078511463e-146
b_{cge00010,C00011}, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
b_{cge00010,C00013}, 9.32818556945e-106, 2.62280298696e-105, 1.49444765058e-106, 3.39052491826e-114, 5.17075744749e-105, 4.1488707765e-113, 1.16152716635e-110, 8.1297838184e-109, 1.74786495122e-106, 1.06257323426e-104
b_{cge00010,C00022}, 1.39159481457e-31, 2.94417670691e-31, 2.44202081415e-32, 1.91515602693e-38, 7.41243548814e-31, 1.91515602693e-38, 3.93700357638e-34, 7.23537511337e-33, 1.31058549899e-31, 1.09266806691e-30
b_{cge00010,C00033}, 0.000682133410904, 0.00152253228713, 0.000112534766275, 3.32870345722e-12, 0.00384878450233, 8.58192876492e-09, 1.00888233049e-06, 1.57146750277e-05, 0.000374254859071, 0.0054578235849
b_{cge00010,C00036}, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
b_{cge00010,C00074}, 2.42129105677e-81, 6.60985602712e-81, 1.69387623868e-82, 1.01464372552e-87, 1.52672094273e-80, 6.05488836271e-87, 1.14652374042e-83, 9.56609598773e-83, 1.05333174003e-81, 2.73231478019e-80
b_{cge00010,C00080}, 2.85716827719e-88, 7.46484661023e-88, 1.86350283204e-89, 7.50950625631e-94, 1.62497187934e-87, 1.98272716458e-92, 2.51239067367e-90, 1.93098771018e-89, 1.45540129668e-88, 3.32252111334e-87
b_{cge00010,C00084}, 1.40493593996e-317, 0.0, 0.0, 4.94065645841e-324, 5.35776792145e-317, 1.38338380836e-322, 4.91545911047e-320, 8.32841518538e-319, 7.58554796161e-318, 1.72657677615e-316
b_{cge00010,C00103}, 1.38800126024e-89, 3.92454993365e-89, 1.52287182644e-90, 2.26082559614e-95, 8.06394358036e-89, 6.19791776676e-94, 2.92802813648e-92, 2.45486711598e-91, 4.63915572886e-90, 1.49700874807e-88
b_{cge00010,C00111}, 8.55850192192e-283, 0.0, 0.0, 1.67918528429e-287, 3.54319380255e-282, 3.92758650742e-286, 5.43968756872e-284, 1.81255680383e-283, 7.46734499806e-283, 8.08942210984e-282
b_{cge00010,C00118}, 1.06878976252e-33, 3.12267068649e-33, 8.27126302542e-35, 2.00172088156e-40, 1.00828273601e-32, 2.00172088156e-40, 1.51600190157e-36, 1.83137988787e-35, 2.00590522032e-34, 1.23207993546e-32
b_{cge00010,C00186}, 1.56092049993e-55, 4.66482626451e-55, 1.34425516916e-56, 1.54058702675e-63, 6.97724279533e-55, 1.06888504027e-61, 1.58026973838e-58, 4.50741703596e-57, 5.66266644674e-56, 2.03303042972e-54
b_{cge00010,C00197}, 1.83708688665e-291, 0.0, 0.0, 2.0272310334e-298, 9.00909523822e-291, 2.0272310334e-298, 1.6381949646e-294, 2.04961245198e-293, 8.51428201328e-292, 1.41822875023e-290
b_{cge00010,C00221}, 1.04779543806e-15, 1.96943890697e-15, 1.8229678484e-16, 4.26863286997e-22, 5.62706067547e-15, 4.26863286997e-22, 1.16153802805e-17, 1.04439790705e-16, 8.92546162813e-16, 6.94593981319e-15
b_{cge00010,C00236}, 1.07213337783e-19, 2.04885200114e-19, 1.81551212942e-20, 2.58157234793e-25, 5.86304224117e-19, 9.17923625009e-24, 1.19390330716e-21, 5.49607813649e-21, 1.17542382262e-19, 7.75494663517e-19
b_{cge00010,C00267}, 2.85581793624e-24, 7.56371240868e-24, 2.31684449622e-25, 1.43106748399e-29, 1.01539713653e-23, 1.43975078402e-27, 2.28462501945e-26, 2.7436518392e-25, 2.65797349086e-24, 2.24895319152e-23
b_{cge00010,C00469}, 5.56212876955e-09, 1.1122898394e-08, 4.41930337289e-10, 1.62728056812e-13, 3.06620430748e-08, 1.59764360991e-12, 2.91128033865e-10, 1.01455774697e-09, 4.53092637612e-09, 4.41733958088e-08
b_{cge00010,C00631}, 1.37091229089e-33, 3.02627066133e-33, 2.91979071638e-34, 1.79769146181e-39, 9.16654424474e-33, 1.87440024031e-38, 3.49316568242e-36, 1.11258316008e-34, 9.42988756805e-34, 1.1665526921e-32
b_{cge00010,C00668}, 1.50473782354e-73, 3.61656325942e-73, 2.39256694134e-74, 5.44589892147e-80, 1.0342695849e-72, 4.39916337094e-79, 2.91460406604e-76, 1.70012855333e-75, 1.06938457571e-73, 1.39296120589e-72
b_{cge00010,C01159}, 5.97513836508e-177, 0.0, 0.0, 5.96131385913e-185, 5.46386569825e-176, 2.984077818e-183, 5.22675519208e-181, 8.14517577766e-180, 1.15973376671e-177, 7.31485403594e-176
