Parameter, Mean, SD, MC Error, Lower 95% HPD, Upper 95% HPD, q2.5, q25, q50, q75, q97.5
b_{cge00010,C00009}, 0.599514690076, 0.939348122917, 0.0266745553117, 2.00426102813e-66, 2.51740287891, 4.90851942198e-10, 0.0160731613875, 0.205077701564, 0.803771339201, 3.32097217964
b_{cge00010,C00011}, 0.613836197305, 0.954650675908, 0.0245287859176, 2.56238453819e-65, 2.55498466564, 5.53738238849e-10, 0.016683030441, 0.212410594147, 0.817487871612, 3.36535962991
b_{cge00010,C00013}, 0.605127520288, 0.922228548599, 0.0240373459646, 9.46528480618e-58, 2.52020461665, 5.18397390685e-10, 0.0171272089866, 0.217433546155, 0.805218789426, 3.26029942055
b_{cge00010,C00022}, 0.608916585919, 0.935979037895, 0.0246375167928, 2.94677439464e-112, 2.49579564149, 1.53939377664e-10, 0.0152617431283, 0.206648318847, 0.836835270327, 3.26287244694
b_{cge00010,C00033}, 0.59948473886, 0.937431618136, 0.0256114156798, 4.49743062154e-61, 2.48432491102, 6.37056739714e-10, 0.0147519664708, 0.204541327626, 0.801869586819, 3.21525461409
b_{cge00010,C00036}, 0.607781172256, 0.940039116226, 0.0272546629536, 5.24029781418e-80, 2.55071209655, 3.30346173234e-10, 0.0140670489466, 0.210921568689, 0.816207169721, 3.39193250207
b_{cge00010,C00074}, 0.592317614757, 0.920630916411, 0.0245320974848, 3.7348308972e-59, 2.47787220086, 2.52089408625e-10, 0.0152060274086, 0.202531096562, 0.790143552226, 3.20619024341
b_{cge00010,C00080}, 0.605650712141, 0.937257368667, 0.0261125709807, 6.68922959934e-72, 2.54062147036, 4.91381513797e-10, 0.0152566102136, 0.202742709671, 0.818017067463, 3.25436148396
b_{cge00010,C00084}, 0.603758632772, 0.921883984459, 0.025119587764, 1.29929471746e-59, 2.5011224466, 7.41742534657e-10, 0.0161469220366, 0.217935810955, 0.814628557303, 3.20109816262
b_{cge00010,C00103}, 0.60502393276, 0.933090025705, 0.0251472865502, 3.13155553185e-76, 2.51823477827, 2.04039791957e-10, 0.0160619984156, 0.211945950381, 0.811500932837, 3.27960807051
b_{cge00010,C00111}, 0.599778588744, 0.937112156906, 0.0250207851529, 2.38768908004e-54, 2.50794090964, 1.24133994756e-09, 0.0164290800463, 0.210140585531, 0.798346876382, 3.31489526399
b_{cge00010,C00118}, 0.616212177811, 0.968829180391, 0.0263288833412, 8.67817440042e-61, 2.56574882565, 5.36378436937e-10, 0.015812542771, 0.212743477752, 0.823278823693, 3.38154428967
b_{cge00010,C00186}, 0.556265779184, 0.654745822797, 0.0202995027564, 8.46466285952e-05, 1.89590788823, 0.000702016551894, 0.0721035423352, 0.324979085139, 0.809827085291, 2.34000425841
b_{cge00010,C00197}, 0.594855563934, 0.914379310601, 0.0243171755997, 7.81341954717e-57, 2.46545165438, 1.38356087566e-09, 0.0137454278265, 0.207716681249, 0.807003914639, 3.25384460434
b_{cge00010,C00221}, 0.617564570877, 0.957766776075, 0.0268795508946, 5.80768668641e-44, 2.64311755343, 3.92638698877e-10, 0.015831663472, 0.203437641299, 0.821861531155, 3.41885911912
b_{cge00010,C00236}, 0.595677186425, 0.91659019721, 0.0259536107942, 3.19361828788e-51, 2.5096073394, 4.6117235827e-10, 0.0155366670175, 0.211056590989, 0.783606355204, 3.30356660624
b_{cge00010,C00267}, 0.422977469377, 0.628715039665, 0.0218541792942, 4.47214075342e-05, 1.72205528579, 0.000140225616275, 0.0184438707529, 0.164368953405, 0.565984279164, 2.2450948505
b_{cge00010,C00469}, 0.607077049999, 0.929213815808, 0.0254078955701, 1.03737315927e-48, 2.51118890297, 2.31386275086e-09, 0.0172996816804, 0.212933565248, 0.815919554262, 3.30113732678
b_{cge00010,C00631}, 0.600979208208, 0.926747424634, 0.0258574434214, 6.54127247575e-59, 2.5733610993, 2.06267320626e-10, 0.0148739609476, 0.210372354845, 0.787658511, 3.29154840019
b_{cge00010,C00668}, 0.610617626844, 0.936702095069, 0.0269690872715, 2.92042863495e-88, 2.56446138824, 1.43881570091e-09, 0.0155852678849, 0.210412264178, 0.828183098452, 3.37292039041
b_{cge00010,C01159}, 0.600190492921, 0.929857330863, 0.0261249624014, 6.60379842868e-86, 2.49699822006, 3.94062083157e-10, 0.0154960136503, 0.206310568734, 0.801038764889, 3.23398825137
b_{cge00010,C01172}, 0.607580778319, 0.940363099576, 0.024736417358, 6.1727214597e-61, 2.55464818022, 5.2176070467e-10, 0.0160500417703, 0.198629311287, 0.807713199335, 3.38653272366
b_{cge00010,C05125}, 0.602756005814, 0.93007105688, 0.0255803973905, 2.43511696103e-92, 2.54251673134, 2.93428470091e-10, 0.0162806491997, 0.210523100306, 0.791679906276, 3.30145099789
