Precursor Mass,Retention Time,Dataset,Source,Peak Name,HMDB Compounds,HMDB Fits,Metlin Compounds,Metlin Scores,MetFrag Compounds,MetFrag Scores
continuous,continuous,string,string,continuous,string,string,string,string,string,string
,,meta,meta,meta,meta,meta,meta,meta,meta,meta
219.0788,27.05,SynNeg 03/24,,,,,,,"C00643, C01017, C19716, C09985","0.928182368367965, 0.896182166633044, 0.825766671135486, 0.723550565604369"
238.8908,12.6,SynNeg 03/24,,,,,,,C02466,0.75
222.0784,45.6,SynNeg 03/24,,,,,,,"C18953, C14433","0.760045973097225, 0.659673566906098"
390.1388,12.89,SynNeg 03/24,,,,,,,C08337,0.75
103.0404,38.84,SynNeg 03/24,,,"C05984, C01089, C06001, C01089","0.39, 0.41, 0.36, 0.41",,,"C14601, C06001, C05984, C03197, C01991, C01188, C01089, C00989","0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0"
299.0634,50.71,SynNeg 03/24,,,,,,,"C07125, C11566","0.756497725795971, 0.727493985522714"
301.0205,12.33,SynNeg 03/24,,,,,,,C17722,0.75
297.0623,49.56,SynNeg 03/24,,,,,,,"C00994, C19787","0.760984336624359, 0.75"
311.092,52.6,SynNeg 03/24,,,,,,,"C07582, C18841, C10045, C10024, C17472","0.835148844170963, 0.548988254446744, 0.516117458503064, 0.47994105731432, 0.430837207965223"
144.0453,3.06,SynNeg 03/24,,,,,,,"C06338, C06343, C19434, C08493, C06415, C06324, C02796","0.8211975635178, 0.805665971588688, 0.75, 0.59094186527504, 0.562465389320394, 0.561960371726232, 0.551257256908039"
177.0413,49.57,SynNeg 03/24,,,,,,,"C05394, C03269, C02779, C20903, C20680, C20251, C19679, C17577, C16737, C06892, C05410, C03926, C03383, C03107, C02692, C02669, C01216, C01115, C01040, C00691, C00273, C00204, C00198","0.75, 0.75, 0.75, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0"
281.0744,12.9,SynNeg 03/24,,,,,,,C19119,0.75
137.0248,53.6,SynNeg 03/24,,,"C00156, C00805","0.3, 0.57","C00156, C00805, C05585, C16700","51.0, 22.0, 21.0, 13.0","C18316, C10832, C05585, C00805, C00587, C00156, C16700","0.820426229508197, 0.782554016564499, 0.755996639515319, 0.755996639515319, 0.755996639515319, 0.755996639515319, 0.75"
146.0458,18.64,SynNeg 03/24,,,,,C12269,9.0,"C00979, C03790, C00302, C00217, C00025, C05938, C03618, C12269, C05941, C05574","0.823518164435946, 0.762332695984704, 0.75, 0.75, 0.75, 0.709763636926359, 0.585474678600157, 0.47306183975964, 0.355541424708983, 0.174085550845349"
146.0455,14.24,SynNeg 03/24,,,,,C12269,29.0,"C05574, C05938, C03618, C00979","0.767369664365688, 0.75, 0.0207206847102872, 0.000702212124172458"
388.9421,11.44,SynNeg 03/24,,,,,,,"C02884, C00119","0.0, 0.0"
315.0552,54.97,SynNeg 03/24,,,,,C10084,5.0,"C10185, C08999, C10119, C10188, C10084, C10176, C10120, C10022, C04443, C19739","0.770435684647303, 0.763615145228216, 0.4862510359393, 0.480934645897806, 0.480934645897806, 0.466619293200711, 0.464337135524362, 0.397679637484857, 0.386891255742118, 0.208754311821854"
613.1859,16.54,SynNeg 03/24,,,,,,,C10805,0.75
713.4876,2.5,SynNeg 03/24,,,,,,,C15940,0.0
209.1178,5.04,SynNeg 03/24,,,,,,,"C16317, C08491","0.75, 0.75"
301.0847,53.24,SynNeg 03/24,,,,,,,C14853,0.75
462.1196,47.7,SynNeg 03/24,,,,,,,C12141,0.75
264.1249,5.37,SynNeg 03/24,,,,,,,"C04335, C11281","0.819245594713656, 0.75"
505.1356,42.57,SynNeg 03/24,,,,,,,C02081,0.75
241.0738,4.58,SynNeg 03/24,,,,,,,C01727,0.75
442.9815,16.35,SynNeg 03/24,,,,,,,C16616,0.75
203.0832,49.39,SynNeg 03/24,,,,,"C00525, C00078","100.0, 75.0","C00806, C00525, C00078, C07839, C14916, C10743","0.840712345818717, 0.840712345818717, 0.837784315944325, 0.7846089797556, 0.756358467819232, 0.49769076022709"
384.9748,36.6,SynNeg 03/24,,,,,,,"C11125, C08082","0.75, 0.457281905506488"
239.0162,13.42,SynNeg 03/24,,,,,,,"C01420, C00491, C18745","0.75, 0.75, 0.0302955141621777"
468.0647,16.41,SynNeg 03/24,,,,,,,C05125,0.75
114.0557,14.56,SynNeg 03/24,,,,,,,"C18170, C16435, C00763, C00148","0.0, 0.0, 0.0, 0.0"
403.1218,12.35,SynNeg 03/24,,,,,,,"C09798, C09779","0.75, 0.75"
201.0383,20.48,SynNeg 03/24,,,,,,,C20581,0.75
165.0554,1.29,SynNeg 03/24,,,,,C05607,100.0,"C01456, C11457, C01744, C01198, C05581, C10712, C11380, C12206, C05607, C02201, C03080, C02363","0.799521757473798, 0.75, 0.75, 0.75, 0.611905337802098, 0.601560054372809, 0.597071895131349, 0.587603554487509, 0.569490027422564, 0.55880148003624, 0.409777389524136, 0.269852755792126"
233.0431,1.31,SynNeg 03/24,,,,,,,"C07731, C21001, C20124","0.788262411347518, 0.408114461201676, 0.0340376414234493"
385.0924,50.08,SynNeg 03/24,,,,,,,"C09924, C09922, C17958, C10446, C20504, C20502, C03503","0.804580143381232, 0.790818343546155, 0.77822574515642, 0.768172256447055, 0.756760469573107, 0.736462485781844, 0.730061780357746"
429.1592,49.47,SynNeg 03/24,,,,,,,C10884,0.75
275.09,16.56,SynNeg 03/24,,,,,,,"C05282, C20912, C01425, C09926, C09584, C09582, C20407, C09489, C17483, C17838, C19251, C19327, C14318","0.883390451429922, 0.875320169261491, 0.86938666981801, 0.340509432385998, 0.328558457293524, 0.317922673790806, 0.301335727624637, 0.160059574346258, 0.10318103791117, 0.102649248736035, 0.069274566224804, 0.0373672157166499, 0.0373672157166499"
543.23,13.01,SynNeg 03/24,,,,,,,C11700,0.75
293.0555,41.29,SynNeg 03/24,,,,,,,"C17136, C17133, C17132","0.0, 0.0, 0.0"
433.1016,13.21,SynNeg 03/24,,,,,,,C11601,0.75
381.1531,2.13,SynNeg 03/24,,,,,,,C18650,0.75
317.1517,4.69,SynNeg 03/24,,,,,,,C07571,0.75
491.2735,16.77,SynNeg 03/24,,,,,,,C10010,0.75
417.1555,44.79,SynNeg 03/24,,,,,,,"C09435, C09493, C10889","0.798074063057704, 0.75, 0.724236154180323"
317.0802,19.13,SynNeg 03/24,,,,,,,"C20073, C12398, C14286","0.804891015417331, 0.75, 0.585901804028278"
243.0625,16.7,SynNeg 03/24,,,,,,,"C16745, C00299, C02067","0.785331316231943, 0.785331316231943, 0.75"
248.0026,4.2,SynNeg 03/24,,,,,,,C18508,0.75
216.9819,45.72,SynNeg 03/24,,,,,,,C16199,0.75
232.0594,43.76,SynNeg 03/24,,,,,,,C10654,0.75
245.1154,48.94,SynNeg 03/24,,,,,,,"C20424, C19972, C17912, C09606, C09601, C09476, C17085, C09605, C09300, C17490, C09545, C09394, C09287, C02206, C09292","0.80266604303087, 0.80266604303087, 0.661652672700808, 0.661652672700808, 0.651446698343509, 0.631998790567974, 0.627321522092763, 0.611993938755109, 0.605375603862686, 0.595048369613811, 0.589940617894491, 0.589940617894491, 0.589940617894491, 0.589940617894491, 0.589014693280789"
472.1645,46.02,SynNeg 03/24,,,,,,,"C03479, C00234, C07228","0.771928696919056, 0.75, 0.59329196174414"
117.0343,1.36,SynNeg 03/24,,,,,,,C14512,0.0
337.0511,43.03,SynNeg 03/24,,,,,,,"C04677, C18837","0.849788532205505, 0.673773626343178"
285.0825,13.87,SynNeg 03/24,,,,,,,"C03003, C18829","0.75, 0.355974105692244"
451.1326,44.32,SynNeg 03/24,,,,,,,C19432,0.75
436.1449,44.61,SynNeg 03/24,,,,,,,C08054,0.75
413.1076,43.93,SynNeg 03/24,,,,,,,"C09769, C16999","0.75, 0.401725371063998"
492.1315,11.06,SynNeg 03/24,,,,,,,C07022,0.848383913150753
488.2017,11.16,SynNeg 03/24,,,,,,,C17376,0.0
295.0952,43.33,SynNeg 03/24,,,,,,,"C03995, C19068, C10035, C14720, C10054","0.75, 0.424363296176359, 0.414528585266736, 0.40376610967569, 0.0863203172692343"
515.1502,13.84,SynNeg 03/24,,,,,,,C18235,0.75
105.0191,15.73,SynNeg 03/24,,,C00258,0.52,,,C00258,0.0
254.0147,51.73,SynNeg 03/24,,,,,,,C14333,0.75
403.146,16.77,SynNeg 03/24,,,,,,,C12220,0.75
476.1517,28.66,SynNeg 03/24,,,,,,,C11737,0.75
283.07,38.83,SynNeg 03/24,,,,,,,C01762,0.75
562.2118,43.07,SynNeg 03/24,,,,,,,C14125,0.75
249.0384,50.16,SynNeg 03/24,,,,,,,"C07734, C01691","0.782948603675583, 0.75"
166.0503,16.59,SynNeg 03/24,,,,,"C12323, C03493, C00250, C05831","40.0, 39.0, 37.0, 25.0","C06051, C14171, C14170, C00250, C20821, C05831, C03986, C12323, C03493","0.862218324829932, 0.854166666666667, 0.854166666666667, 0.85297087585034, 0.83750531462585, 0.812074829931973, 0.79594494047619, 0.75531462585034, 0.75"
417.0507,13.0,SynNeg 03/24,,,,,,,C10992,0.75
244.0606,45.56,SynNeg 03/24,,,,,,,"C19105, C10694","0.75, 0.75"
131.0719,54.51,SynNeg 03/24,,,,,,,"C06103, C03499, C07834, C03264, C13773","0.792397660818713, 0.75, 0.666848935786516, 0.477732265128321, 0.0316308912203472"
267.0973,42.49,SynNeg 03/24,,,,,,,"C11571, C19461","0.845359446331355, 0.75"
158.0821,54.7,SynNeg 03/24,,,,,,,"C10850, C10151, C08269, C03087","0.0, 0.0, 0.0, 0.0"
471.1683,16.73,SynNeg 03/24,,,,,,,"C18681, C00664","0.75, 0.0"
421.1876,50.94,SynNeg 03/24,,,,,,,"C17053, C16809, C09801","0.756506090808416, 0.75124584717608, 0.75"
394.9782,3.41,SynNeg 03/24,,,,,,,"C18552, C17116","0.0, 0.0"
213.0155,4.94,SynNeg 03/24,,,,,,,"C17101, C16637, C11437, C00673, C00672","0.75, 0.57781137580457, 0.57781137580457, 0.545205844509082, 0.545205844509082"
399.1772,46.89,SynNeg 03/24,,,,,,,"C10621, C10555, C14668","0.818827744315372, 0.818827744315372, 0.75"
390.1574,1.21,SynNeg 03/24,,,,,,,C13780,0.75
265.0508,16.75,SynNeg 03/24,,,,,,,"C08506, C18252","0.885788581779933, 0.573769007268639"
416.0567,16.55,SynNeg 03/24,,,,,,,C20799,0.75
475.2599,12.29,SynNeg 03/24,,,,,,,C09420,0.75
322.0697,14.09,SynNeg 03/24,,,,,,,C10959,0.75
111.0199,19.11,SynNeg 03/24,,,,,,,"C18474, C00106","0.781529084578051, 0.75"
346.0746,24.93,SynNeg 03/24,,,,,,,C12222,0.75
