Dataset,Source,Error
string,string,string
meta,meta,meta
SynNeg 03/24,HMDB:15,Invalid Fit (%): not a number (N/A)
SynNeg 03/24,HMDB:16,Invalid Fit (%): not a number (N/A)
SynNeg 03/24,HMDB:32,Invalid KEGG ID (KEGG)
SynNeg 03/24,HMDB:66,Invalid KEGG ID (KEGG)
SynNeg 03/24,HMDB:68,Invalid KEGG ID (KEGG)
SynNeg 03/24,HMDB:95,Invalid KEGG ID (KEGG)
SynNeg 03/24,HMDB:98,Invalid KEGG ID (KEGG)
SynNeg 03/24,HMDB:101,Invalid KEGG ID (KEGG)
SynNeg 03/24,HMDB:105,Invalid KEGG ID (KEGG)
SynNeg 03/24,HMDB:106,Invalid KEGG ID (KEGG)
SynNeg 03/24,HMDB:108,Invalid KEGG ID (KEGG)
SynNeg 03/24,HMDB:109,Invalid KEGG ID (KEGG)
SynNeg 03/24,HMDB:214,Invalid KEGG ID (KEGG)
SynNeg 03/24,HMDB:217,Invalid KEGG ID (KEGG)
SynNeg 03/24,HMDB:220,Invalid KEGG ID (KEGG)
SynNeg 03/24,HMDB:255,Invalid KEGG ID (KEGG)
SynNeg 03/24,HMDB:293,Invalid Fit (%): not a number (N/A)
SynNeg 03/24,HMDB:299,Invalid Fit (%): not a number (N/A)
SynNeg 03/24,HMDB:496,Invalid KEGG ID (KEGG)
SynNeg 03/24,Metlin:0,Invalid Metlin Score: not a number (nan)
SynNeg 03/24,Metlin:1,Invalid Metlin Score: not a number (nan)
SynNeg 03/24,Metlin:2,Invalid Metlin Score: not a number (nan)
SynNeg 03/24,Metlin:3,Invalid Metlin Score: not a number (nan)
SynNeg 03/24,Metlin:4,Invalid Metlin Score: not a number (nan)
SynNeg 03/24,Metlin:5,Invalid Metlin Score: not a number (nan)
SynNeg 03/24,Metlin:6,Invalid Metlin Score: not a number (nan)
SynNeg 03/24,Metlin:7,Invalid Metlin Score: not a number (nan)
SynNeg 03/24,Metlin:8,Invalid Metlin Score: not a number (nan)
SynNeg 03/24,Metlin:9,Invalid Metlin Score: not a number (nan)
SynNeg 03/24,Metlin:10,Invalid Metlin Score: not a number (nan)
SynNeg 03/24,Metlin:11,Invalid Metlin Score: not a number (nan)
SynNeg 03/24,Metlin:12,Invalid Metlin Score: not a number (nan)
SynNeg 03/24,Metlin:13,Invalid Metlin Score: not a number (nan)
SynNeg 03/24,Metlin:14,Invalid Metlin Score: not a number (nan)
SynNeg 03/24,Metlin:15,Invalid Metlin Score: not a number (nan)
SynNeg 03/24,Metlin:16,Invalid Metlin Score: not a number (nan)
SynNeg 03/24,Metlin:17,Invalid Metlin Score: not a number (nan)
SynNeg 03/24,Metlin:18,Invalid Metlin Score: not a number (nan)
SynNeg 03/24,Metlin:19,Invalid Metlin Score: not a number (nan)
SynNeg 03/24,Metlin:20,Invalid Metlin Score: not a number (nan)
SynNeg 03/24,Metlin:21,Invalid Metlin Score: not a number (nan)
SynNeg 03/24,Metlin:22,Invalid Metlin Score: not a number (nan)
SynNeg 03/24,Metlin:24,Invalid Metlin Score: not a number (nan)
SynNeg 03/24,Metlin:25,Invalid Metlin Score: not a number (nan)
SynNeg 03/24,Metlin:26,Invalid Metlin Score: not a number (nan)
SynNeg 03/24,Metlin:27,Invalid Metlin Score: not a number (nan)
SynNeg 03/24,Metlin:28,Invalid Metlin Score: not a number (nan)
SynNeg 03/24,Metlin:29,Invalid Metlin Score: not a number (nan)
SynNeg 03/24,Metlin:30,Invalid Metlin Score: not a number (nan)
SynNeg 03/24,Metlin:31,Invalid Metlin Score: not a number (nan)
SynNeg 03/24,Metlin:32,Invalid Metlin Score: not a number (nan)
SynNeg 03/24,Metlin:33,Invalid Metlin Score: not a number (nan)
SynNeg 03/24,Metlin:34,Invalid Metlin Score: not a number (nan)
SynNeg 03/24,Metlin:35,Invalid Metlin Score: not a number (nan)
SynNeg 03/24,Metlin:36,Invalid Metlin Score: not a number (nan)
SynNeg 03/24,Metlin:37,Invalid Metlin Score: not a number (nan)
SynNeg 03/24,Metlin:38,Invalid Metlin Score: not a number (nan)
SynNeg 03/24,Metlin:39,Invalid Metlin Score: not a number (nan)
SynNeg 03/24,Metlin:40,Invalid Metlin Score: not a number (nan)
SynNeg 03/24,Metlin:41,Invalid Metlin Score: not a number (nan)
SynNeg 03/24,Metlin:42,Invalid Metlin Score: not a number (nan)
SynNeg 03/24,Metlin:43,Invalid Metlin Score: not a number (nan)
SynNeg 03/24,Metlin:44,Invalid Metlin Score: not a number (nan)
SynNeg 03/24,Metlin:45,Invalid Metlin Score: not a number (nan)
SynNeg 03/24,Metlin:46,Invalid Metlin Score: not a number (nan)
SynNeg 03/24,Metlin:47,Invalid Metlin Score: not a number (nan)
SynNeg 03/24,Metlin:48,Invalid Metlin Score: not a number (nan)
SynNeg 03/24,Metlin:49,Invalid Metlin Score: not a number (nan)
SynNeg 03/24,Metlin:50,Invalid Metlin Score: not a number (nan)
SynNeg 03/24,Metlin:51,Invalid Metlin Score: not a number (nan)
SynNeg 03/24,Metlin:52,Invalid Metlin Score: not a number (nan)
SynNeg 03/24,Metlin:53,Invalid Metlin Score: not a number (nan)
SynNeg 03/24,Metlin:54,Invalid Metlin Score: not a number (nan)
SynNeg 03/24,Metlin:55,Invalid Metlin Score: not a number (nan)
SynNeg 03/24,Metlin:57,Invalid KEGG ID (?)
SynNeg 03/24,Metlin:58,Invalid Metlin Score: not a number (nan)
SynNeg 03/24,Metlin:61,Invalid Metlin Score: not a number (nan)
SynNeg 03/24,Metlin:66,Invalid Metlin Score: not a number (nan)
SynNeg 03/24,Metlin:74,Invalid Metlin Score: not a number (nan)
SynNeg 03/24,Metlin:75,Invalid Metlin Score: not a number (nan)
SynNeg 03/24,Metlin:76,Invalid Metlin Score: not a number (nan)
SynNeg 03/24,Metlin:77,Invalid Metlin Score: not a number (nan)
SynNeg 03/24,Metlin:78,Invalid Metlin Score: not a number (nan)
SynNeg 03/24,Metlin:79,Invalid Metlin Score: not a number (nan)
SynNeg 03/24,Metlin:80,Invalid Metlin Score: not a number (nan)
SynNeg 03/24,Metlin:81,Invalid Metlin Score: not a number (nan)
SynNeg 03/24,Metlin:83,Invalid Metlin Score: not a number (nan)
SynNeg 03/24,Metlin:84,Invalid Metlin Score: not a number (nan)
SynNeg 03/24,Metlin:85,Invalid Metlin Score: not a number (nan)
SynNeg 03/24,Metlin:89,Invalid Metlin Score: not a number (nan)
SynNeg 03/24,Metlin:92,Invalid Metlin Score: not a number (nan)
SynNeg 03/24,Metlin:93,Invalid Metlin Score: not a number (nan)
SynNeg 03/24,Metlin:95,Invalid Metlin Score: not a number (nan)
SynNeg 03/24,Metlin:96,Invalid Metlin Score: not a number (nan)
SynNeg 03/24,Metlin:98,Invalid Metlin Score: not a number (nan)
SynNeg 03/24,Metlin:99,Invalid Metlin Score: not a number (nan)
SynNeg 03/24,Metlin:100,Invalid Metlin Score: not a number (nan)
SynNeg 03/24,Metlin:101,Invalid Metlin Score: not a number (nan)
SynNeg 03/24,Metlin:103,Invalid KEGG ID (?)
SynNeg 03/24,Metlin:104,Invalid Metlin Score: not a number (nan)
SynNeg 03/24,Metlin:105,Invalid KEGG ID (?)
SynNeg 03/24,Metlin:108,Invalid Metlin Score: not a number (nan)
SynNeg 03/24,Metlin:109,Invalid Metlin Score: not a number (nan)
SynNeg 03/24,Metlin:110,Invalid Metlin Score: not a number (nan)
SynNeg 03/24,Metlin:111,Invalid Metlin Score: not a number (nan)
SynNeg 03/24,Metlin:112,Invalid Metlin Score: not a number (nan)
SynNeg 03/24,Metlin:113,Invalid Metlin Score: not a number (nan)
SynNeg 03/24,Metlin:114,Invalid Metlin Score: not a number (nan)
SynNeg 03/24,Metlin:115,Invalid Metlin Score: not a number (nan)
SynNeg 03/24,Metlin:116,Invalid Metlin Score: not a number (nan)
SynNeg 03/24,Metlin:117,Invalid Metlin Score: not a number (nan)
SynNeg 03/24,Metlin:118,Invalid KEGG ID (?)
SynNeg 03/24,Metlin:120,Invalid Metlin Score: not a number (nan)
SynNeg 03/24,Metlin:121,Invalid Metlin Score: not a number (nan)
SynNeg 03/24,Metlin:122,Invalid Metlin Score: not a number (nan)
SynNeg 03/24,Metlin:123,Invalid KEGG ID (?)
SynNeg 03/24,Metlin:125,Invalid Metlin Score: not a number (nan)
SynNeg 03/24,Metlin:126,Invalid Metlin Score: not a number (nan)
SynNeg 03/24,Metlin:127,Invalid Metlin Score: not a number (nan)
SynNeg 03/24,Metlin:128,Invalid Metlin Score: not a number (nan)
SynNeg 03/24,Metlin:129,Invalid Metlin Score: not a number (nan)
SynNeg 03/24,Metlin:130,Invalid Metlin Score: not a number (nan)
SynNeg 03/24,Metlin:131,Invalid Metlin Score: not a number (nan)
SynNeg 03/24,Metlin:132,Invalid Metlin Score: not a number (nan)
SynNeg 03/24,Metlin:133,Invalid Metlin Score: not a number (nan)
SynNeg 03/24,Metlin:134,Invalid Metlin Score: not a number (nan)
SynNeg 03/24,Metlin:135,Invalid Metlin Score: not a number (nan)
SynNeg 03/24,Metlin:136,Invalid Metlin Score: not a number (nan)
