Parameter, Mean, SD, MC Error, Lower 95% HPD, Upper 95% HPD, q2.5, q25, q50, q75, q97.5
Y_C00009, 0.986666666667, 0.114697670227, 0.00393778781037, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00011, 0.992222222222, 0.0878480731184, 0.00283496684937, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00012, 0.98, 0.14, 0.00426874949162, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00013, 0.992222222222, 0.0878480731184, 0.00283496684937, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00014, 0.986666666667, 0.114697670227, 0.00361068373539, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00018, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Y_C00019, 0.99, 0.0994987437107, 0.00317979733806, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00021, 0.991111111111, 0.0938609425864, 0.00301436888139, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00022, 0.984444444444, 0.123748051487, 0.00385541146064, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00025, 0.99, 0.0994987437107, 0.00317979733806, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00026, 0.99, 0.0994987437107, 0.00317979733806, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00028, 0.995555555556, 0.0665183535426, 0.00217732421581, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00029, 0.995555555556, 0.0665183535426, 0.00217732421581, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00030, 0.99, 0.0994987437107, 0.00354686437767, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00031, 0.991111111111, 0.0938609425864, 0.00301436888139, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00032, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Y_C00033, 0.985555555556, 0.119313882131, 0.00405365252155, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00036, 0.995555555556, 0.0665183535426, 0.00217732421581, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00037, 0.988888888889, 0.104822012578, 0.00368513865595, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00039, 0.982222222222, 0.132142833309, 0.00436597393431, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00040, 0.993333333333, 0.0813770374382, 0.00263874268601, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00041, 0.992222222222, 0.0878480731184, 0.00283496684937, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00042, 0.986666666667, 0.114697670227, 0.00452155332208, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00043, 0.996666666667, 0.0576387215526, 0.00189541356769, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00046, 0.982222222222, 0.132142833309, 0.00436597393431, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00047, 0.982222222222, 0.132142833309, 0.00407340061774, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00048, 0.986666666667, 0.114697670227, 0.00361068373539, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00049, 0.992222222222, 0.0878480731184, 0.00283496684937, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00052, 0.985555555556, 0.119313882131, 0.00405365252155, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00059, 0.985555555556, 0.119313882131, 0.00373670482684, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00060, 0.00111111111111, 0.0333148096679, 0.00110554159679, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Y_C00061, 0.978888888889, 0.143754763743, 0.00435889894354, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00062, 0.986666666667, 0.114697670227, 0.00393778781037, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00064, 0.992222222222, 0.0878480731184, 0.00283496684937, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00065, 0.99, 0.0994987437107, 0.00317979733806, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00067, 0.986666666667, 0.114697670227, 0.00361068373539, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00069, 0.995555555556, 0.0665183535426, 0.00217732421581, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00071, 0.981111111111, 0.136132651357, 0.00417369777133, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00072, 0.987777777778, 0.109876473852, 0.00347655285492, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00073, 0.997777777778, 0.0470880446676, 0.00155555555556, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00074, 0.988888888889, 0.104822012578, 0.00333333333333, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00077, 0.994444444444, 0.074328267557, 0.00242161052419, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00078, 0.978888888889, 0.143754763743, 0.00559872119438, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00079, 0.992222222222, 0.0878480731184, 0.00283496684937, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00080, 0.992222222222, 0.0878480731184, 0.00283496684937, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00082, 0.99, 0.0994987437107, 0.00354686437767, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00083, 0.995555555556, 0.0665183535426, 0.00217732421581, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00084, 0.994444444444, 0.074328267557, 0.00242161052419, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00085, 0.993333333333, 0.0813770374382, 0.00263874268601, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00086, 0.992222222222, 0.0878480731184, 0.00283496684937, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
