Parameter, Mean, SD, MC Error, Lower 95% HPD, Upper 95% HPD, q2.5, q25, q50, q75, q97.5
Y_C00009, 0.987777777778, 0.109876473852, 0.00412609880614, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00011, 0.993333333333, 0.0813770374382, 0.00263874268601, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00012, 0.988888888889, 0.104822012578, 0.00368513865595, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00013, 0.992222222222, 0.0878480731184, 0.00324132269907, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00014, 0.991111111111, 0.0938609425864, 0.00301436888139, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00018, 0.983333333333, 0.128019095798, 0.00426730319326, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00019, 0.99, 0.0994987437107, 0.00317979733806, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00021, 0.988888888889, 0.104822012578, 0.00333333333333, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00022, 0.985555555556, 0.119313882131, 0.00373670482684, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00025, 0.988888888889, 0.104822012578, 0.00368513865595, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00026, 0.993333333333, 0.0813770374382, 0.00263874268601, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00028, 0.987777777778, 0.109876473852, 0.00347655285492, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00029, 0.99, 0.0994987437107, 0.00354686437767, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00030, 0.992222222222, 0.0878480731184, 0.00324132269907, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00031, 0.991111111111, 0.0938609425864, 0.00301436888139, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00032, 0.988888888889, 0.104822012578, 0.00368513865595, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00033, 0.996666666667, 0.0576387215526, 0.00189541356769, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00036, 0.988888888889, 0.104822012578, 0.00368513865595, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00037, 0.991111111111, 0.0938609425864, 0.0033993463424, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00039, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Y_C00040, 0.988888888889, 0.104822012578, 0.00333333333333, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00041, 0.99, 0.0994987437107, 0.00317979733806, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00042, 0.993333333333, 0.0813770374382, 0.00263874268601, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00043, 0.983333333333, 0.128019095798, 0.0045474182066, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00046, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Y_C00047, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Y_C00048, 0.988888888889, 0.104822012578, 0.00333333333333, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00049, 0.986666666667, 0.114697670227, 0.00361068373539, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00052, 0.984444444444, 0.123748051487, 0.00416333199893, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00059, 0.985555555556, 0.119313882131, 0.00434755501034, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00060, 0.982222222222, 0.132142833309, 0.00464013622618, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
