Parameter, Mean, SD, MC Error, Lower 95% HPD, Upper 95% HPD, q2.5, q25, q50, q75, q97.5
Y_C00009, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00011, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00012, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00013, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00014, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00018, 0.98, 0.14, 0.014, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00019, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00021, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00022, 0.99, 0.0994987437107, 0.00994987437107, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00025, 0.98, 0.14, 0.014, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00026, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00028, 0.99, 0.0994987437107, 0.00994987437107, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00029, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Y_C00030, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00031, 0.46, 0.498397431775, 0.0498397431775, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0
Y_C00032, 0.01, 0.0994987437107, 0.00994987437107, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Y_C00033, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00036, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00037, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00039, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00040, 0.99, 0.0994987437107, 0.00994987437107, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00041, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00042, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00043, 0.01, 0.0994987437107, 0.00994987437107, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Y_C00046, 0.99, 0.0994987437107, 0.00994987437107, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00047, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00048, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00049, 0.99, 0.0994987437107, 0.00994987437107, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00052, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00059, 0.99, 0.0994987437107, 0.00994987437107, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00060, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00061, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Y_C00062, 0.99, 0.0994987437107, 0.00994987437107, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00064, 0.99, 0.0994987437107, 0.00994987437107, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00065, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00067, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00069, 0.01, 0.0994987437107, 0.00994987437107, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Y_C00071, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00072, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Y_C00073, 0.99, 0.0994987437107, 0.00994987437107, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00074, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00077, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00078, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Y_C00079, 0.98, 0.14, 0.014, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00080, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00082, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00083, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00084, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00085, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00086, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00089, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Y_C00091, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00092, 0.99, 0.0994987437107, 0.00994987437107, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00093, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Y_C00094, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00095, 0.98, 0.14, 0.014, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00096, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00097, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00099, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00100, 0.99, 0.0994987437107, 0.00994987437107, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00101, 0.97, 0.170587221092, 0.0170587221092, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0
Y_C00103, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Y_C00106, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Y_C00108, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Y_C00109, 0.99, 0.0994987437107, 0.00994987437107, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00110, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Y_C00111, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00114, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Y_C00116, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Y_C00117, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00118, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00119, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00120, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00121, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00122, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00123, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00124, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00125, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00126, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00127, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Y_C00128, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Y_C00129, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00132, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00134, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00135, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00136, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00137, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00138, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
