"Pathway Id","Pathway Name","Reaction Id","Reaction Definition","Reaction Type","Reaction Substrates","Reaction Products","Enzyme Id","Enzyme Substrates","Enzyme Products","Notes"
"cge00010","Glycolysis / Gluconeogenesis","R00711","Acetaldehyde + NADP+ + H2O <=> Acetate + NADPH + H+","reversible","C00084 C00006 C00001","C00033 C00005 C00080","1.2.1.-","","","Enzyme id contains a wildcard character. "
"cge00061","Fatty acid biosynthesis","R07762","Hexadecanoyl-[acp] + Malonyl-[acyl-carrier protein] <=> 3-Oxostearoyl-[acp] + Acyl-carrier protein + CO2","irreversible","C05764 C01209","C16219 C00229 C00011","2.3.1.-","","","Enzyme id contains a wildcard character. "
"cge00061","Fatty acid biosynthesis","R04968","Tetradecanoyl-[acp] + Malonyl-[acyl-carrier protein] <=> 3-Oxohexadecanoyl-[acp] + CO2 + Acyl-carrier protein","irreversible","C05761 C01209","C05762 C00011 C00229","2.3.1.-","","","Enzyme id contains a wildcard character. "
"cge00061","Fatty acid biosynthesis","R04726","Dodecanoyl-[acyl-carrier protein] + Malonyl-[acyl-carrier protein] <=> 3-Oxotetradecanoyl-[acp] + CO2 + Acyl-carrier protein","irreversible","C05223 C01209","C05759 C00011 C00229","2.3.1.-","","","Enzyme id contains a wildcard character. "
"cge00061","Fatty acid biosynthesis","R04963","Decanoyl-[acp] + Malonyl-[acyl-carrier protein] <=> 3-Oxododecanoyl-[acp] + CO2 + Acyl-carrier protein","irreversible","C05755 C01209","C05756 C00011 C00229","2.3.1.-","","","Enzyme id contains a wildcard character. "
"cge00061","Fatty acid biosynthesis","R04960","Octanoyl-[acp] + Malonyl-[acyl-carrier protein] <=> 3-Oxodecanoyl-[acp] + CO2 + Acyl-carrier protein","irreversible","C05752 C01209","C05753 C00011 C00229","2.3.1.-","","","Enzyme id contains a wildcard character. "
"cge00061","Fatty acid biosynthesis","R04957","Hexanoyl-[acp] + Malonyl-[acyl-carrier protein] <=> 3-Oxooctanoyl-[acp] + CO2 + Acyl-carrier protein","irreversible","C05749 C01209","C05750 C00011 C00229","2.3.1.-","","","Enzyme id contains a wildcard character. "
"cge00061","Fatty acid biosynthesis","R04952","Butyryl-[acp] + Malonyl-[acyl-carrier protein] <=> 3-Oxohexanoyl-[acp] + CO2 + Acyl-carrier protein","irreversible","C05745 C01209","C05746 C00011 C00229","2.3.1.-","","","Enzyme id contains a wildcard character. "
"cge00061","Fatty acid biosynthesis","R04544","(3R)-3-Hydroxypalmitoyl-[acyl-carrier protein] <=> trans-Hexadec-2-enoyl-[acp] + H2O","reversible","C04633","C05763 C00001","2.3.1.-","","","Enzyme id contains a wildcard character. "
"cge00061","Fatty acid biosynthesis","R04543","(3R)-3-Hydroxypalmitoyl-[acyl-carrier protein] + NADP+ <=> 3-Oxohexadecanoyl-[acp] + NADPH + H+","reversible","C04633 C00006","C05762 C00005 C00080","2.3.1.-","","","Enzyme id contains a wildcard character. "
"cge00061","Fatty acid biosynthesis","R04968","Tetradecanoyl-[acp] + Malonyl-[acyl-carrier protein] <=> 3-Oxohexadecanoyl-[acp] + CO2 + Acyl-carrier protein","irreversible","C05761 C01209","C05762 C00011 C00229","2.3.1.-","","","Enzyme id contains a wildcard character. "
"cge00061","Fatty acid biosynthesis","R04568","(3R)-3-Hydroxytetradecanoyl-[acyl-carrier protein] <=> trans-Tetradec-2-enoyl-[acp] + H2O","reversible","C04688","C05760 C00001","2.3.1.-","","","Enzyme id contains a wildcard character. "
"cge00061","Fatty acid biosynthesis","R04566","(3R)-3-Hydroxytetradecanoyl-[acyl-carrier protein] + NADP+ <=> 3-Oxotetradecanoyl-[acp] + NADPH + H+","reversible","C04688 C00006","C05759 C00005 C00080","2.3.1.-","","","Enzyme id contains a wildcard character. "
"cge00061","Fatty acid biosynthesis","R04726","Dodecanoyl-[acyl-carrier protein] + Malonyl-[acyl-carrier protein] <=> 3-Oxotetradecanoyl-[acp] + CO2 + Acyl-carrier protein","irreversible","C05223 C01209","C05759 C00011 C00229","2.3.1.-","","","Enzyme id contains a wildcard character. "
"cge00061","Fatty acid biosynthesis","R04965","(R)-3-Hydroxydodecanoyl-[acp] <=> trans-Dodec-2-enoyl-[acp] + H2O","reversible","C05757","C05758 C00001","2.3.1.-","","","Enzyme id contains a wildcard character. "
"cge00061","Fatty acid biosynthesis","R04964","(R)-3-Hydroxydodecanoyl-[acp] + NADP+ <=> 3-Oxododecanoyl-[acp] + NADPH + H+","reversible","C05757 C00006","C05756 C00005 C00080","2.3.1.-","","","Enzyme id contains a wildcard character. "
"cge00061","Fatty acid biosynthesis","R04963","Decanoyl-[acp] + Malonyl-[acyl-carrier protein] <=> 3-Oxododecanoyl-[acp] + CO2 + Acyl-carrier protein","irreversible","C05755 C01209","C05756 C00011 C00229","2.3.1.-","","","Enzyme id contains a wildcard character. "
"cge00061","Fatty acid biosynthesis","R04535","(3R)-3-Hydroxydecanoyl-[acyl-carrier protein] <=> trans-Dec-2-enoyl-[acp] + H2O","reversible","C04619","C05754 C00001","2.3.1.-","","","Enzyme id contains a wildcard character. "
"cge00061","Fatty acid biosynthesis","R04534","(3R)-3-Hydroxydecanoyl-[acyl-carrier protein] + NADP+ <=> 3-Oxodecanoyl-[acp] + NADPH","reversible","C04619 C00006","C05753 C00005","2.3.1.-","","","Enzyme id contains a wildcard character. "
"cge00061","Fatty acid biosynthesis","R04960","Octanoyl-[acp] + Malonyl-[acyl-carrier protein] <=> 3-Oxodecanoyl-[acp] + CO2 + Acyl-carrier protein","irreversible","C05752 C01209","C05753 C00011 C00229","2.3.1.-","","","Enzyme id contains a wildcard character. "
"cge00061","Fatty acid biosynthesis","R04537","(3R)-3-Hydroxyoctanoyl-[acyl-carrier protein] <=> trans-Oct-2-enoyl-[acp] + H2O","reversible","C04620","C05751 C00001","2.3.1.-","","","Enzyme id contains a wildcard character. "
"cge00061","Fatty acid biosynthesis","R04536","(3R)-3-Hydroxyoctanoyl-[acyl-carrier protein] + NADP+ <=> 3-Oxooctanoyl-[acp] + NADPH + H+","reversible","C04620 C00006","C05750 C00005 C00080","2.3.1.-","","","Enzyme id contains a wildcard character. "
"cge00061","Fatty acid biosynthesis","R04957","Hexanoyl-[acp] + Malonyl-[acyl-carrier protein] <=> 3-Oxooctanoyl-[acp] + CO2 + Acyl-carrier protein","irreversible","C05749 C01209","C05750 C00011 C00229","2.3.1.-","","","Enzyme id contains a wildcard character. "
"cge00061","Fatty acid biosynthesis","R04954","(R)-3-Hydroxyhexanoyl-[acp] <=> trans-Hex-2-enoyl-[acp] + H2O","reversible","C05747","C05748 C00001","2.3.1.-","","","Enzyme id contains a wildcard character. "
