Precursor Mass,Retention Time,Dataset,Source,Peak Name,HMDB Compounds,HMDB Fits,Metlin Compounds,Metlin Scores,MetFrag Compounds,MetFrag Scores
continuous,continuous,string,string,continuous,string,string,string,string,string,string
,,meta,meta,meta,meta,meta,meta,meta,meta,meta
338.12,11.65,HilPos 03/24,,,,,,,"C03868, C04197","0.750723687881932, 0.75"
648.3783,13.05,HilPos 03/24,,,,,,,C13902,0.75
166.0721,5.51,HilPos 03/24,,,"C02242, C04152","0.21, 0.14",C02242,38.0,"C02242, C02230","0.767116986248305, 0.75"
477.1713,6.73,HilPos 03/24,,,,,,,C12276,0.0
293.0986,24.91,HilPos 03/24,,,,,,,C00284,0.824835826340752
166.0866,9.24,HilPos 03/24,,,"C00079, C07527","0.35, 0.32",C00079,76.0,"C02265, C02057, C00079, C20488, C20487, C19578, C18747, C19565","0.893693937603935, 0.888383633653268, 0.888383633653268, 0.838831179357857, 0.838831179357857, 0.474389385579216, 0.383925897055284, 0.0968750687050952"
316.1375,11.76,HilPos 03/24,,,,,,,C17208,0.75
393.1953,10.52,HilPos 03/24,,,,,,,C17054,0.75
147.0442,10.31,HilPos 03/24,,,,,,,C05851,0.75
507.3308,13.04,HilPos 03/24,,,,,,,C20009,0.75
323.1461,12.58,HilPos 03/24,,,,,,,"C20351, C09568, C09559","0.82393519328319, 0.515791223542186, 0.460083276617047"
251.1394,4.17,HilPos 03/24,,,,,,,"C17725, C03002","0.775485423531821, 0.75"
619.0484,10.41,HilPos 03/24,,,,,,,C17166,0.75
150.0545,7.21,HilPos 03/24,,,,,,,"C03574, C09957, C11130, C02775, C05578, C03742, C00650","0.750281340335757, 0.75, 0.295968523536371, 0.235921684497547, 0.206123471261861, 0.126165867306471, 0.124795062691446"
306.0767,25.04,HilPos 03/24,,,,,,,"C07246, C09347","0.75, 0.0"
422.1077,9.4,HilPos 03/24,,,,,,,C18439,0.75
429.1507,25.14,HilPos 03/24,,,,,,,"C15181, C11743, C10730","0.75, 0.464418934885703, 0.234287156602123"
297.2396,11.32,HilPos 03/24,,,,,C14825,38.0,"C14826, C14762, C19617, C08368, C14767, C14825, C08318","0.784845392957493, 0.783158466636481, 0.783074235121888, 0.780379999754814, 0.765644202185972, 0.764453430665258, 0.75"
555.1249,10.73,HilPos 03/24,,,,,,,C19774,0.75
375.1128,10.96,HilPos 03/24,,,,,,,C10183,0.75
277.1042,25.04,HilPos 03/24,,,,,,,"C01425, C05282, C20912, C09926, C09584, C09489, C09582, C20407, C17483, C17838, C14549","0.932645070654393, 0.929241165890817, 0.349797680269499, 0.128211245745924, 0.0790248543923151, 0.0723133753855711, 0.0640781380507553, 0.035556844780082, 0.0143498949501112, 0.0139002546623415, 0.00920586199259724"
144.0478,2.67,HilPos 03/24,,,,,C04294,52.0,C04294,0.75
589.1028,10.04,HilPos 03/24,,,,,,,C20638,0.75
393.2093,2.66,HilPos 03/24,,,,,,,"C10425, C08846, C08573, C07413, C15643, C06848, C15319","0.8300578550901, 0.822287314580444, 0.798518602433261, 0.764008260758024, 0.763008375030679, 0.763008375030679, 0.75"
176.0704,2.63,HilPos 03/24,,,C00954,0.3,,,"C11504, C02298, C06331, C05634, C06525, C06344, C01386, C03230, C00954","0.801295962214861, 0.800852744472462, 0.794756807866942, 0.79306573561611, 0.783039949548957, 0.745026523959117, 0.740989444333712, 0.503847072591992, 0.497281855013884"
353.0428,11.04,HilPos 03/24,,,,,,,C08727,0.75
305.0861,8.79,HilPos 03/24,,,,,,,"C19442, C19256, C07122","0.75, 0.75, 0.75"
275.0491,26.7,HilPos 03/24,,,,,,,C04359,0.75
137.0708,8.28,HilPos 03/24,,,,,C02918,59.0,,
170.0814,7.93,HilPos 03/24,,,C00314,0.51,"C00314, C00547","70.0, 28.0","C00547, C00314","0.75, 0.730544498202305"
191.0652,10.39,HilPos 03/24,,,,,,,"C08266, C05829","0.75, 0.221648480804937"
381.1297,25.13,HilPos 03/24,,,,,,,C14612,0.75
390.0528,10.41,HilPos 03/24,,,,,,,C08425,0.75
152.0565,7.99,HilPos 03/24,,,,,C00242,15.0,C00242,0.75
284.0857,17.47,HilPos 03/24,,,,,,,C08475,0.75
210.0501,9.26,HilPos 03/24,,,,,,,C17949,0.75
316.1116,9.18,HilPos 03/24,,,,,,,C18733,0.75
317.0967,15.31,HilPos 03/24,,,,,,,C11706,0.75
461.2909,13.1,HilPos 03/24,,,,,,,C13422,0.75
451.3068,13.46,HilPos 03/24,,,,,,,C09940,0.75
304.0496,11.06,HilPos 03/24,,,,,,,C18874,0.75
337.0726,9.6,HilPos 03/24,,,,,,,"C00796, C12376","0.771400505883387, 0.75"
160.0755,2.63,HilPos 03/24,,,,,C00637,28.0,"C00637, C10663, C06345, C14789","0.793425315806822, 0.765642512285542, 0.744357599024062, 0.676838342975232"
358.202,34.41,HilPos 03/24,,,,,C01341,7.0,"C07251, C09558","0.75, 0.644465906512207"
496.0933,10.44,HilPos 03/24,,,,,,,C16426,0.75
696.4371,2.63,HilPos 03/24,,,,,,,C18846,0.75
278.0876,20.79,HilPos 03/24,,,,,,,C19232,0.75
188.0542,7.63,HilPos 03/24,,,,,,,"C20258, C01215","0.75, 0.0858723496393281"
112.0511,6.74,HilPos 03/24,,,C00380,0.41,C00380,54.0,C00380,0.75
188.1755,13.04,HilPos 03/24,,,,,C01029,67.0,"C00612, C01029","0.754031210746209, 0.75"
427.3058,13.39,HilPos 03/24,,,,,,,C01591,0.75
495.3284,9.59,HilPos 03/24,,,,,,,"C08829, C16874","0.751502820678813, 0.75"
263.103,25.03,HilPos 03/24,,,,,,,C18260,0.75
257.2448,11.33,HilPos 03/24,,,,,,,C00249,0.75
449.2901,12.53,HilPos 03/24,,,,,,,C18217,0.75
176.0656,9.61,HilPos 03/24,,,C03139,0.4,,,C03139,0.0
531.182,11.37,HilPos 03/24,,,,,,,C17749,0.75
387.0729,10.69,HilPos 03/24,,,,,,,C18889,0.75
285.1236,4.74,HilPos 03/24,,,,,,,"C01677, C18559","0.806160786251008, 0.747044112331297"
385.2495,15.17,HilPos 03/24,,,,,,,C07753,0.75
179.0905,10.52,HilPos 03/24,,,,,,,"C16287, C08235","0.0, 0.0"
319.0732,25.11,HilPos 03/24,,,,,,,"C12393, C18485","0.75, 0.0"
218.1028,25.03,HilPos 03/24,,,,,,,C18590,0.75
325.0396,13.87,HilPos 03/24,,,C00105,0.65,,,"C01368, C03031, C00105, C01168, C14574","0.822084739407574, 0.774371953505812, 0.75, 0.41644340422597, 0.298123524907888"
264.1087,14.12,HilPos 03/24,,,,,,,C20706,0.75
239.1494,2.69,HilPos 03/24,,,,,,,C11079,0.0
300.1061,11.45,HilPos 03/24,,,,,,,C16352,0.75
308.0855,4.35,HilPos 03/24,,,C00051,0.43,C00051,8.0,,
319.1886,13.49,HilPos 03/24,,,,,C00399,9.0,"C15351, C14983, C15151","0.754413281876887, 0.75, 0.748396729209235"
228.0954,6.66,HilPos 03/24,,,C00881,0.38,C00881,50.0,C00881,0.75
356.0672,10.56,HilPos 03/24,,,,,,,C18730,0.75
247.129,16.87,HilPos 03/24,,,,,C02206,9.0,"C20424, C19972","0.75, 0.75"
239.0444,12.29,HilPos 03/24,,,,,,,C07268,0.75
259.0685,9.8,HilPos 03/24,,,,,,,"C03433, C03177, C07910","0.893911973360359, 0.733054754672523, 0.514305798446064"
366.0707,15.74,HilPos 03/24,,,,,,,C19044,0.75
169.0949,11.35,HilPos 03/24,,,C00534,0.51,C00534,17.0,"C13710, C11846, C00534","0.836651777228664, 0.830616802889185, 0.75"
150.0548,4.14,HilPos 03/24,,,,,,,"C09957, C03574, C11130, C02775, C05578, C00650, C03742","0.75, 0.739213439199893, 0.317511190751641, 0.251908372113046, 0.234263498425702, 0.127299324618078, 0.125824119029249"
415.1771,10.49,HilPos 03/24,,,,,,,C10707,0.75
326.0565,9.71,HilPos 03/24,,,,,,,C18852,0.75
273.24,13.39,HilPos 03/24,,,,,,,C18218,0.75
273.0036,18.54,HilPos 03/24,,,,,,,C16198,0.75
123.0441,10.32,HilPos 03/24,,,C00180,0.45,,,"C15474, C03067, C00633, C06202, C00539, C00180","0.795700201924219, 0.756028031832759, 0.756028031832759, 0.750801757928495, 0.713925144348238, 0.713925144348238"
203.1506,9.88,HilPos 03/24,,,,,C03626,36.0,"C01404, C03626","0.785704744603548, 0.630064889927113"
463.3044,34.33,HilPos 03/24,,,,,,,"C02513, C08832","0.772782949534542, 0.688048742145419"
429.2754,2.61,HilPos 03/24,,,,,,,C19798,0.0
277.1034,14.3,HilPos 03/24,,,,,,,"C19251, C14318, C19327, C17483, C17838, C09582, C14549, C09489, C09926, C20407, C09584, C20912, C05282, C01425","0.868079103916279, 0.840582208404482, 0.839473462617716, 0.751153095618237, 0.751020046123825, 0.689860129813578, 0.687313657947095, 0.673866652697175, 0.614188174516009, 0.612495149359802, 0.319711879210619, 0.214780726692474, 0.132382447457811, 0.132382447457811"
423.0594,10.53,HilPos 03/24,,,,,,,C13967,0.75
347.2033,13.07,HilPos 03/24,,,,,,,"C15079, C15327, C04529","0.75, 0.526036938934625, 0.256990717208305"
327.0662,11.24,HilPos 03/24,,,,,,,C02750,0.75
283.1756,2.67,HilPos 03/24,,,,,C19039,79.0,,
501.164,10.69,HilPos 03/24,,,,,,,"C17350, C01941, C00927, C01316","0.824550877538003, 0.824550877538003, 0.824550877538003, 0.75"
463.3075,13.02,HilPos 03/24,,,,,,,"C02513, C08832","0.75, 0.605674848026579"
384.1508,9.34,HilPos 03/24,,,C00611,0.44,,,"C07278, C06372, C20887, C00611, C18491, C19784","0.913903894994614, 0.913903894994614, 0.913677841698076, 0.913677841698076, 0.361883126215018, 0.290291309868835"
182.0662,8.51,HilPos 03/24,,,,,,,C21065,0.75
469.0763,10.7,HilPos 03/24,,,,,C06928,6.0,C06928,0.75
102.0556,16.72,HilPos 03/24,,,,,C01234,43.0,"C20905, C17234, C08267, C01234, C19456, C07509, C19777, C02926, C11106","0.894517282479142, 0.894517282479142, 0.894517282479142, 0.894517282479142, 0.775327771156138, 0.75, 0.679013361556741, 0.679013361556741, 0.0"
376.0613,13.75,HilPos 03/24,,,,,,,C11031,0.75
177.05,10.54,HilPos 03/24,,,C00438,0.27,,,"C04209, C00438","0.86676875957121, 0.348018297339789"
465.3215,13.41,HilPos 03/24,,,,,,,"C08835, C00477, C16496","0.75, 0.636398814110032, 0.636037491903868"
486.067,11.14,HilPos 03/24,,,,,,,C13378,0.75
380.0284,9.97,HilPos 03/24,,,,,,,C19054,0.75
280.0926,9.87,HilPos 03/24,,,,,,,C02328,0.75
335.0748,15.41,HilPos 03/24,,,,,,,"C01225, C10517, C04703, C04641, C18347, C09770","0.920670159955874, 0.900989474203832, 0.900989474203832, 0.900300009228653, 0.0411835188836822, 0.0222417278999678"
